Name,Assists,Map,MatchTeams
SugarZ3ro,10,Sunset,TS VS ZETA
Enzo,10,Icebox,TL VS FUT
Shao,10,Split,KC VS NAVI
Munchkin,10,Icebox,GEN VS PRX
BeYN,10,Bind,T1 VS DRX
yuran,10,Sunset,TS VS ZETA
johnqt,10,Icebox,SEN VS LEV
tuyz,10,Breeze,NRG VS LOUD
N4RRATE,10,Bind,KC VS FUT
BeYN,10,Bind,GEN VS DRX
mindfreak,10,Icebox,GEN VS PRX
Brave,10,Split,BBL VS TH
Carpe,10,Ascent,T1 VS DFM
Dep,10,Sunset,BLD VS ZETA
BeYN,10,Lotus,TS VS DRX
Boaster,10,Bind,FNC VS KOI
Carpe,10,Breeze,T1 VS DRX
JessieVash,10,Icebox,TS VS ZETA
Ethan,10,Split,NRG VS FUR
vanity,10,Split,C9 VS EG
Alfajer,10,Bind,FNC VS GX
hoody,10,Lotus,TL VS GX
Chronicle,10,Lotus,FNC VS TH
Keiko,10,Ascent,TL VS GX
Lightningfast,10,Ascent,GE VS DRX
Shao,10,Sunset,KC VS NAVI
MiniBoo,10,Icebox,FNC VS TH
JonahP,9,Split,G2 VS 100T
ardiis,9,Split,TL VS NAVI
Xeppaa,9,Sunset,C9 VS EG
sh1n,9,Split,KC VS NAVI
Leo,9,Lotus,FNC VS TH
Enzo,9,Lotus,TL VS GX
Meiy,9,Sunset,T1 VS DFM
SugarZ3ro,9,Ascent,BLD VS ZETA
f0rsakeN,9,Icebox,GEN VS PRX
Medusa,9,Lotus,GEN VS DFM
runi,9,Sunset,C9 VS EG
Wailers,9,Ascent,BBL VS M8
Munchkin,9,Ascent,GEN VS TLN
Anthem,9,Split,BLD VS DFM
vanity,9,Ascent,C9 VS LEV
Kicks,9,Sunset,VIT VS TH
paTiTek,9,Icebox,VIT VS TH
Mazino,9,Ascent,C9 VS LEV
JessieVash,9,Icebox,TS VS RRQ
Russ,9,Ascent,GE VS DRX
C0M,9,Icebox,C9 VS LEV
Rossy,9,Bind,T1 VS PRX
Melser,9,Icebox,KRU VS FUR
yuran,9,Sunset,BLD VS ZETA
ceNder,9,Breeze,VIT VS TH
ceNder,9,Sunset,VIT VS TH
Mazino,9,Icebox,SEN VS LEV
SugarZ3ro,9,Icebox,TS VS ZETA
Munchkin,9,Bind,GEN VS PRX
Medusa,9,Split,BLD VS DFM
RieNs,9,Sunset,VIT VS TH
moose,9,Ascent,C9 VS LEV
hiroronn,9,Icebox,GE VS ZETA
trexx,9,Sunset,VIT VS TH
BORKUM,9,Breeze,TS VS RRQ
Klaus,9,Sunset,KRU VS MIBR
sh1n,9,Sunset,KC VS NAVI
Derrek,9,Lotus,C9 VS EG
C0M,9,Icebox,SEN VS LEV
trexx,9,Bind,VIT VS NAVI
SugarZ3ro,9,Icebox,GE VS ZETA
Jamppi,9,Lotus,TL VS NAVI
Marved,9,Breeze,NRG VS FUR
BORKUM,9,Icebox,TS VS RRQ
SSeeS,9,Lotus,BLD VS DFM
valyn,9,Icebox,G2 VS EG
mindfreak,9,Lotus,GEN VS PRX
runneR,9,Icebox,VIT VS TH
Xeppaa,9,Split,C9 VS EG
invy,9,Icebox,TS VS ZETA
NaturE,9,Lotus,G2 VS EG
tomaszy,9,Split,KC VS M8
Redgar,9,Sunset,KC VS GX
stax,9,Bind,T1 VS DRX
ANGE1,9,Ascent,TL VS NAVI
Leo,9,Breeze,M8 VS FNC
Leo,9,Split,FNC VS GX
MaKo,9,Split,T1 VS DRX
Boo,9,Sunset,VIT VS TH
Lakia,9,Ascent,GEN VS TLN
N4RRATE,9,Bind,KC VS NAVI
tomaszy,9,Split,KC VS NAVI
N4RRATE,9,Breeze,KC VS GX
Boaster,9,Lotus,M8 VS FNC
nzr,9,Lotus,KRU VS FUR
MaKo,9,Sunset,TS VS DRX
SugarZ3ro,9,Sunset,BLD VS ZETA
Zellsis,9,Split,SEN VS 100T
Lakia,9,Lotus,GEN VS DFM
Medusa,8,Lotus,BLD VS DFM
yuran,8,Lotus,BLD VS ZETA
purp0,8,Sunset,KC VS GX
sh1n,8,Breeze,KC VS GX
Zest,8,Sunset,BLD VS ZETA
qRaxs,8,Lotus,KC VS FUT
bang,8,Bind,G2 VS 100T
iZu,8,Ascent,T1 VS DFM
Jinggg,8,Bind,T1 VS PRX
runi,8,Lotus,C9 VS EG
kiNgg,8,Lotus,SEN VS LEV
Boo,8,Breeze,VIT VS TH
BORKUM,8,Lotus,TS VS DRX
AtaKaptan,8,Icebox,VIT VS FUT
Estrella,8,Breeze,TS VS RRQ
nAts,8,Ascent,TL VS GX
Jremy,8,Sunset,TS VS ZETA
aspas,8,Ascent,C9 VS LEV
beyAz,8,Ascent,BBL VS M8
Sayf,8,Sunset,VIT VS FUT
Lakia,8,Split,GEN VS DFM
Shao,8,Split,TL VS NAVI
Fit1nho,8,Split,FNC VS GX
ceNder,8,Icebox,VIT VS FUT
Foxy9,8,Bind,T1 VS DRX
leaf,8,Lotus,G2 VS EG
BORKUM,8,Icebox,TS VS ZETA
kon4n,8,Breeze,NRG VS FUR
Klaus,8,Icebox,KRU VS MIBR
TakaS,8,Ascent,BBL VS M8
AtaKaptan,8,Lotus,KC VS FUT
SSeeS,8,Lotus,T1 VS DFM
hiroronn,8,Ascent,GE VS ZETA
RieNs,8,Icebox,FNC VS TH
Sayf,8,Ascent,VIT VS FUT
reazy,8,Breeze,BBL VS KOI
Enzo,8,Split,KOI VS TL
sh1n,8,Breeze,KC VS FUT
Mistic,8,Ascent,KOI VS TL
ANGE1,8,Split,TL VS NAVI
sh1n,8,Split,KC VS M8
Crws,8,Ascent,GEN VS TLN
trexx,8,Lotus,VIT VS NAVI
invy,8,Lotus,TS VS ZETA
MaKo,8,Bind,GEN VS DRX
Mistic,8,Icebox,TL VS GX
valyn,8,Lotus,G2 VS EG
Melser,8,Breeze,KRU VS FUR
MAGNUM,8,Split,KC VS NAVI
fl1pzjder,8,Lotus,T1 VS RRQ
Anthem,8,Lotus,BLD VS DFM
SugarZ3ro,8,Lotus,TS VS ZETA
Boo,8,Lotus,FNC VS TH
MiniBoo,8,Sunset,VIT VS TH
sh1n,8,Bind,KC VS FUT
crashies,8,Split,NRG VS FUR
Shao,8,Bind,VIT VS NAVI
grubinho,8,Ascent,KOI VS TL
SugarZ3ro,8,Sunset,GE VS ZETA
ban,8,Lotus,GEN VS TLN
purp0,8,Lotus,TL VS GX
pAura,8,Split,BBL VS TH
vanity,8,Icebox,C9 VS LEV
invy,8,Sunset,TS VS DRX
runneR,8,Breeze,VIT VS TH
MrFaliN,8,Split,TL VS FUT
AtaKaptan,8,Icebox,TL VS FUT
Ethan,8,Breeze,NRG VS LOUD
Lightningfast,8,Ascent,GE VS ZETA
Boaster,8,Bind,FNC VS GX
Boostio,8,Split,SEN VS 100T
marteen,7,Sunset,KC VS GX
Governor,7,Lotus,GEN VS TLN
trent,7,Icebox,G2 VS EG
JessieVash,7,Sunset,TS VS DRX
Jamppi,7,Split,KOI VS TL
Surf,7,Bind,BLD VS TLN
BeYN,7,Ascent,GE VS DRX
ShadoW,7,Ascent,KOI VS TL
Wailers,7,Icebox,KC VS M8
Cryocells,7,Split,G2 VS 100T
BuZz,7,Lotus,TS VS DRX
Derrek,7,Split,C9 VS EG
Retla,7,Lotus,BLD VS TLN
iZu,7,Bind,T1 VS DRX
Leo,7,Bind,FNC VS GX
Carpe,7,Ascent,T1 VS RRQ
iZu,7,Lotus,T1 VS PRX
Jamppi,7,Ascent,TL VS NAVI
JitBoyS,7,Breeze,GE VS TLN
