Name,Kills,Map,MatchTeams
purp0,13,Bind,FNC VS GX
Xeppaa,13,Split,C9 VS EG
Zyppan,13,Bind,KC VS NAVI
trexx,13,Bind,VIT VS NAVI
Shao,13,Bind,VIT VS NAVI
Victor,13,Sunset,NRG VS LOUD
Crws,13,Bind,BLD VS TLN
Boo,13,Icebox,FNC VS TH
Enzo,13,Split,KOI VS TL
vanity,13,Sunset,C9 VS LEV
t3xture,13,Ascent,GEN VS DRX
Derke,13,Icebox,FNC VS TH
grubinho,13,Icebox,FNC VS KOI
Retla,13,Lotus,BLD VS ZETA
leaf,13,Bind,G2 VS 100T
sheydos,13,Bind,FNC VS KOI
Jamppi,13,Ascent,KOI VS TL
Carpe,13,Lotus,T1 VS RRQ
OXY,13,Sunset,C9 VS LEV
BORKUM,13,Split,TS VS RRQ
ardiis,13,Bind,VIT VS NAVI
Ethan,13,Breeze,NRG VS FUR
Boo,13,Sunset,BBL VS TH
Estrella,13,Lotus,BLD VS RRQ
Meteor,13,Lotus,GEN VS DFM
Deryeon,13,Lotus,BLD VS TLN
NDG,13,Sunset,TS VS ZETA
Xeppaa,13,Icebox,C9 VS LEV
Zellsis,13,Icebox,SEN VS 100T
aspas,12,Sunset,C9 VS LEV
Kicks,12,Bind,VIT VS NAVI
valyn,12,Split,G2 VS 100T
Jamppi,12,Icebox,TL VS GX
Fit1nho,12,Breeze,KC VS GX
Zyppan,12,Bind,VIT VS NAVI
invy,12,Lotus,TS VS ZETA
BeYN,12,Lotus,GE VS DRX
bang,12,Split,SEN VS 100T
MiniBoo,12,Split,BBL VS TH
Jremy,12,Sunset,TS VS DRX
Carpe,12,Lotus,T1 VS PRX
reazy,12,Sunset,BBL VS M8
Brave,12,Ascent,BBL VS M8
t3xture,12,Split,GEN VS DRX
supamen,12,Lotus,G2 VS EG
Klaus,12,Lotus,KRU VS FUR
Derke,12,Split,FNC VS GX
yay,12,Icebox,BLD VS RRQ
Enzo,12,Split,TL VS NAVI
Derrek,12,Sunset,C9 VS EG
Munchkin,12,Lotus,GEN VS PRX
NDG,12,Sunset,TS VS DRX
Meteor,12,Icebox,GEN VS PRX
Keiko,12,Split,TL VS FUT
cauanzin,12,Breeze,NRG VS LOUD
tomaszy,12,Breeze,KC VS GX
sh1n,12,Split,KC VS NAVI
SugarZ3ro,12,Icebox,GE VS ZETA
Shyy,12,Icebox,KRU VS FUR
Retla,12,Lotus,BLD VS TLN
Laz,12,Lotus,TS VS ZETA
SUYGETSU,12,Bind,KC VS NAVI
SSeeS,12,Sunset,T1 VS DFM
runi,12,Split,C9 VS EG
Derrek,12,Lotus,G2 VS EG
Anthem,12,Ascent,T1 VS DFM
Cloud,12,Breeze,KC VS GX
Melser,12,Breeze,KRU VS FUR
Rossy,12,Lotus,T1 VS PRX
Melser,12,Icebox,KRU VS MIBR
kiNgg,12,Icebox,C9 VS LEV
BuZz,12,Bind,GEN VS DRX
BORKUM,12,Lotus,TS VS DRX
Lmemore,12,Lotus,BLD VS RRQ
Enzo,12,Lotus,TL VS NAVI
Carpe,12,Ascent,T1 VS RRQ
AtaKaptan,12,Lotus,KC VS FUT
tex,12,Icebox,SEN VS LEV
MrFaliN,12,Breeze,KC VS FUT
Apoth,12,Lotus,C9 VS EG
neth,12,Ascent,T1 VS DFM
Boaster,12,Breeze,M8 VS FNC
reazy,12,Breeze,BBL VS KOI
sh1n,12,Icebox,KC VS M8
MaKo,12,Sunset,TS VS DRX
Karon,12,Bind,GEN VS PRX
stax,12,Sunset,TS VS DRX
sScary,12,Lotus,BLD VS RRQ
Mistic,12,Icebox,TL VS GX
vanity,12,Sunset,C9 VS EG
xccurate,12,Sunset,T1 VS DFM
Marved,12,Sunset,NRG VS LOUD
Chronicle,12,Bind,FNC VS GX
xccurate,12,Ascent,T1 VS RRQ
Deryeon,12,Split,BLD VS DFM
Retla,12,Bind,BLD VS TLN
Foxy9,12,Split,T1 VS DRX
yuran,12,Sunset,TS VS ZETA
N4RRATE,12,Breeze,KC VS FUT
Kicks,12,Ascent,VIT VS FUT
Deryeon,12,Ascent,BLD VS DFM
Boo,12,Split,BBL VS TH
Apoth,11,Split,C9 VS EG
moose,11,Sunset,C9 VS EG
tomaszy,11,Breeze,KC VS FUT
Benkai,11,Icebox,GE VS TLN
t3xture,11,Bind,GEN VS PRX
ShadoW,11,Icebox,FNC VS KOI
Shao,11,Bind,KC VS NAVI
BeYN,11,Ascent,GE VS DRX
Karon,11,Ascent,GEN VS TLN
BeYN,11,Bind,T1 VS DRX
Zest,11,Lotus,BLD VS DFM
Deryeon,11,Bind,BLD VS TLN
Shyy,11,Icebox,KRU VS MIBR
blaZek1ng,11,Lotus,GE VS DRX
Meteor,11,Ascent,GEN VS TLN
SUYGETSU,11,Ascent,TL VS NAVI
MAGNUM,11,Sunset,KC VS NAVI
yuran,11,Icebox,TS VS ZETA
xffero,11,Ascent,T1 VS RRQ
Meteor,11,Bind,GEN VS PRX
Asuna,11,Icebox,SEN VS 100T
Mazino,11,Icebox,SEN VS LEV
hoody,11,Icebox,TL VS GX
Marved,11,Breeze,NRG VS FUR
nzr,11,Icebox,KRU VS FUR
mazin,11,Sunset,KRU VS MIBR
yuran,11,Sunset,BLD VS ZETA
ShadoW,11,Bind,FNC VS KOI
Munchkin,11,Bind,GEN VS PRX
AtaKaptan,11,Bind,KC VS FUT
hoody,11,Breeze,KC VS GX
d4v41,11,Lotus,GEN VS PRX
hoody,11,Ascent,TL VS GX
Jamppi,11,Ascent,TL VS NAVI
Chronicle,11,Breeze,FNC VS GX
marteen,11,Sunset,KC VS NAVI
AtaKaptan,11,Ascent,VIT VS FUT
iZu,11,Ascent,T1 VS RRQ
Shyy,11,Lotus,KRU VS FUR
JonahP,11,Bind,G2 VS 100T
Jamppi,11,Split,TL VS NAVI
Khalil,11,Breeze,NRG VS FUR
Retla,11,Split,BLD VS DFM
Less,11,Sunset,NRG VS LOUD
Sayaplayer,11,Bind,T1 VS DRX
yetujey,11,Split,TL VS FUT
SUYGETSU,11,Bind,VIT VS NAVI
qRaxs,11,Icebox,VIT VS FUT
Carpe,11,Sunset,T1 VS DFM
Rossy,11,Lotus,T1 VS DFM
MrFaliN,11,Split,TL VS FUT
Lakia,11,Ascent,GEN VS DRX
havoc,11,Breeze,NRG VS FUR
hoody,11,Split,FNC VS GX
invy,11,Breeze,TS VS RRQ
logaN,11,Ascent,BBL VS M8
paTiTek,11,Icebox,VIT VS TH
ardiis,11,Lotus,TL VS NAVI
hoody,11,Bind,FNC VS GX
MAGNUM,11,Bind,KC VS FUT
frz,11,Icebox,KRU VS MIBR
Fit1nho,11,Ascent,TL VS GX
BORKUM,11,Lotus,TS VS ZETA
MaKo,11,Split,GEN VS DRX
Brave,11,Sunset,BBL VS TH
Retla,11,Lotus,BLD VS DFM
JessieVash,11,Icebox,TS VS RRQ
Sayf,11,Lotus,VIT VS NAVI
eeiu,11,Icebox,SEN VS 100T
RieNs,11,Sunset,BBL VS TH
Carpe,11,Split,T1 VS DRX
sScary,11,Icebox,BLD VS TLN
Zyppan,11,Sunset,KC VS NAVI
Munchkin,11,Ascent,GEN VS TLN
RieNs,11,Split,BBL VS TH
Lmemore,11,Ascent,T1 VS RRQ
nzr,10,Split,NRG VS FUR
eeiu,10,Split,SEN VS 100T
SugarZ3ro,10,Sunset,GE VS ZETA
Karon,10,Split,GEN VS DFM
vanity,10,Icebox,C9 VS LEV
Brave,10,Breeze,BBL VS KOI
icy,10,Lotus,G2 VS EG
crashies,10,Breeze,NRG VS FUR
JessieVash,10,Split,TS VS RRQ
Jamppi,10,Split,TL VS FUT
benjyfishy,10,Split,BBL VS TH
Brave,10,Sunset,BBL VS M8
SSeeS,10,Lotus,T1 VS DFM
C0M,10,Sunset,C9 VS LEV
qRaxs,10,Breeze,KC VS FUT
xccurate,10,Ascent,T1 VS DFM
Lakia,10,Bind,GEN VS PRX
JitBoyS,10,Icebox,GE VS TLN
yay,10,Lotus,BLD VS DFM
nAts,10,Split,TL VS FUT
Foxy9,10,Breeze,T1 VS DRX
fl1pzjder,10,Lotus,BLD VS RRQ
marteen,10,Lotus,KC VS FUT
Enzo,10,Icebox,TL VS GX
Fit1nho,10,Bind,FNC VS GX
Khalil,10,Breeze,KRU VS FUR
Keiko,10,Ascent,TL VS NAVI
TakaS,10,Icebox,KC VS M8
nzr,10,Breeze,KRU VS FUR
MAGNUM,10,Breeze,KC VS GX
benjyfishy,10,Breeze,VIT VS TH
iZu,10,Bind,T1 VS PRX
JessieVash,10,Lotus,TS VS DRX
kon4n,10,Lotus,KRU VS FUR
qRaxs,10,Sunset,VIT VS FUT
hiroronn,10,Lotus,TS VS ZETA
supamen,10,Sunset,C9 VS EG
Crws,10,Icebox,BLD VS TLN
Zest,10,Icebox,BLD VS RRQ
reazy,10,Sunset,BBL VS TH
mwzera,10,Lotus,KRU VS FUR
purp0,10,Icebox,TL VS GX
Rossy,10,Lotus,T1 VS RRQ
Anthem,10,Split,BLD VS DFM
Karon,10,Split,GEN VS DRX
Mistic,10,Split,TL VS FUT
starxo,10,Icebox,FNC VS KOI
Dep,10,Ascent,BLD VS ZETA
ShadoW,10,Breeze,BBL VS KOI
yuran,10,Sunset,GE VS ZETA
Boo,10,Icebox,VIT VS TH
Leo,10,Lotus,M8 VS FNC
stax,10,Ascent,GEN VS DRX
Munchkin,10,Split,GEN VS DRX
Asuna,10,Bind,G2 VS 100T
BeYN,10,Split,T1 VS DRX
MAGNUM,10,Split,KC VS M8
Lakia,10,Split,GEN VS DFM
havoc,10,Breeze,KRU VS FUR
Crws,10,Lotus,BLD VS TLN
nAts,10,Ascent,TL VS NAVI
Mistic,10,Icebox,TL VS FUT
havoc,10,Split,NRG VS FUR
Ethan,10,Breeze,NRG VS LOUD
starxo,10,Ascent,KOI VS TL
MAGNUM,10,Lotus,KC VS FUT
Lmemore,10,Split,TS VS RRQ
Medusa,10,Split,BLD VS DFM
Zest,10,Lotus,BLD VS TLN
hoody,10,Sunset,KC VS GX
MAGNUM,10,Sunset,KC VS GX
havoc,10,Lotus,KRU VS FUR
Enzo,10,Split,TL VS FUT
Wailers,10,Sunset,BBL VS M8
Sayaplayer,10,Split,T1 VS DRX
BORKUM,9,Sunset,TS VS DRX
Polvi,9,Lotus,GE VS DRX
cauanzin,9,Sunset,NRG VS LOUD
MiniBoo,9,Sunset,BBL VS TH
Crws,9,Lotus,GE VS TLN
Retla,9,Lotus,BLD VS RRQ
Lightningfast,9,Lotus,GE VS DRX
Zest,9,Bind,BLD VS TLN
logaN,9,Lotus,M8 VS FNC
Rossy,9,Split,T1 VS DRX
Boaster,9,Lotus,M8 VS FNC
kamo,9,Ascent,KOI VS TL
NaturE,9,Split,C9 VS EG
Alfajer,9,Icebox,FNC VS TH
neth,9,Lotus,GEN VS DFM
Leo,9,Breeze,FNC VS GX
supamen,9,Split,C9 VS EG
Anthem,9,Lotus,GEN VS DFM
blaZek1ng,9,Sunset,GE VS ZETA
Crws,9,Icebox,GE VS TLN
jawgemo,9,Icebox,G2 VS EG
Boostio,9,Split,G2 VS 100T
ANGE1,9,Lotus,VIT VS NAVI
Kicks,9,Lotus,VIT VS NAVI
JitBoyS,9,Lotus,GEN VS TLN
yay,9,Sunset,BLD VS ZETA
tex,9,Sunset,C9 VS LEV
sScary,9,Ascent,BLD VS DFM
vanity,9,Split,C9 VS EG
Zest,9,Icebox,BLD VS TLN
Fit1nho,9,Split,FNC VS GX
Chronicle,9,Icebox,FNC VS TH
grubinho,9,Ascent,KOI VS TL
logaN,9,Sunset,BBL VS M8
paTiTek,9,Breeze,VIT VS TH
d4v41,9,Bind,GEN VS PRX
RieNs,9,Icebox,FNC VS TH
hiroronn,9,Ascent,GE VS ZETA
Medusa,9,Lotus,GEN VS DFM
yay,9,Lotus,BLD VS ZETA
Ethan,9,Sunset,NRG VS LOUD
MrFaliN,9,Lotus,KC VS FUT
sheydos,9,Icebox,BBL VS KOI
grubinho,9,Breeze,BBL VS KOI
Rossy,9,Breeze,T1 VS DRX
N4RRATE,9,Bind,KC VS FUT
JonahP,9,Split,G2 VS 100T
C0M,9,Icebox,C9 VS LEV
Wailers,9,Icebox,KC VS M8
Deryeon,9,Icebox,BLD VS RRQ
marteen,9,Sunset,KC VS GX
Shao,9,Split,KC VS NAVI
jawgemo,8,Lotus,G2 VS EG
Quick,8,Sunset,NRG VS LOUD
Benkai,8,Ascent,GE VS DRX
tuyz,8,Sunset,NRG VS LOUD
Klaus,8,Icebox,KRU VS FUR
Cloud,8,Bind,FNC VS GX
beyAz,8,Breeze,M8 VS FNC
Benkai,8,Lotus,GE VS TLN
Munchkin,8,Bind,GEN VS DRX
Retla,8,Ascent,BLD VS DFM
Deryeon,8,Lotus,BLD VS RRQ
vanity,8,Lotus,C9 VS EG
Redgar,8,Split,FNC VS GX
Mazino,8,Sunset,C9 VS LEV
yetujey,8,Ascent,VIT VS FUT
Carpe,8,Breeze,T1 VS DRX
fl1pzjder,8,Split,TS VS RRQ
Derrek,8,Icebox,G2 VS EG
TakaS,8,Split,KC VS M8
MAGNUM,8,Bind,KC VS NAVI
NDG,8,Lotus,TS VS DRX
QutionerX,8,Breeze,BBL VS KOI
reazy,8,Icebox,BBL VS KOI
Enzo,8,Ascent,KOI VS TL
blaZek1ng,8,Icebox,GE VS ZETA
SugarZ3ro,8,Sunset,TS VS ZETA
grubinho,8,Icebox,BBL VS KOI
Boaster,8,Split,FNC VS GX
fl1pzjder,8,Ascent,T1 VS RRQ
jawgemo,8,Split,C9 VS EG
Sacy,8,Icebox,SEN VS LEV
SSeeS,8,Lotus,GEN VS DFM
Derrek,8,Split,C9 VS EG
sh1n,8,Sunset,KC VS NAVI
tomaszy,8,Lotus,KC VS FUT
Governor,8,Lotus,BLD VS TLN
neth,8,Split,GEN VS DFM
runi,8,Icebox,C9 VS LEV
Foxy9,8,Ascent,GEN VS DRX
NaturE,8,Sunset,C9 VS EG
Redgar,8,Lotus,TL VS GX
Kicks,8,Icebox,VIT VS FUT
Russ,8,Sunset,GE VS ZETA
QutionerX,8,Ascent,BBL VS M8
neth,8,Split,BLD VS DFM
starxo,8,Split,KOI VS TL
kon4n,8,Breeze,KRU VS FUR
Crws,8,Ascent,GEN VS TLN
Estrella,8,Icebox,BLD VS RRQ
Retla,7,Icebox,BLD VS RRQ
TakaS,7,Breeze,M8 VS FNC
supamen,7,Icebox,G2 VS EG
ANGE1,7,Bind,KC VS NAVI
Surf,7,Icebox,GE VS TLN
moose,7,Sunset,C9 VS LEV
Mistic,7,Ascent,TL VS NAVI
Karon,7,Lotus,GEN VS PRX
Ethan,7,Split,NRG VS FUR
fl1pzjder,7,Lotus,T1 VS RRQ
Boaster,7,Bind,FNC VS KOI
Lightningfast,7,Sunset,GE VS ZETA
Cloud,7,Icebox,TL VS GX
beyAz,7,Lotus,M8 VS FNC
iZu,7,Split,T1 VS DRX
Polvi,7,Ascent,GE VS ZETA
N4RRATE,7,Split,KC VS NAVI
ANGE1,7,Lotus,TL VS NAVI
icy,7,Icebox,G2 VS EG
Surf,7,Lotus,BLD VS TLN
sheydos,7,Breeze,BBL VS KOI
Cloud,7,Split,FNC VS GX
reazy,7,Ascent,BBL VS M8
ardiis,7,Lotus,VIT VS NAVI
Khalil,7,Split,NRG VS FUR
Redgar,7,Bind,FNC VS GX
sh1n,7,Breeze,KC VS FUT
Alfajer,7,Breeze,M8 VS FNC
Anthem,7,Ascent,BLD VS DFM
icy,7,Split,G2 VS 100T
Polvi,7,Lotus,GE VS TLN
Medusa,6,Ascent,BLD VS DFM
sheydos,6,Icebox,FNC VS KOI
hiroronn,6,Ascent,BLD VS ZETA
ban,6,Icebox,GE VS TLN
Boaster,6,Breeze,FNC VS GX
Foxy9,6,Bind,T1 VS DRX
sh1n,6,Bind,KC VS NAVI
Boostio,6,Icebox,SEN VS 100T
mwzera,6,Split,NRG VS FUR
TakaS,6,Lotus,M8 VS FNC
trexx,6,Sunset,VIT VS TH
Carpe,6,Bind,T1 VS DRX
Surf,6,Lotus,GEN VS TLN
xccurate,6,Split,T1 VS DRX
AtaKaptan,6,Sunset,VIT VS FUT
trexx,6,Lotus,VIT VS NAVI
SSeeS,6,Ascent,BLD VS DFM
starxo,6,Icebox,BBL VS KOI
runneR,6,Ascent,VIT VS FUT
Polvi,6,Sunset,GE VS ZETA
Wailers,6,Breeze,M8 VS FNC
johnqt,6,Icebox,SEN VS LEV
pAura,6,Icebox,BBL VS KOI
saadhak,6,Sunset,NRG VS LOUD
mazin,6,Icebox,KRU VS MIBR
RgLMeister,6,Icebox,KRU VS MIBR
Anthem,6,Lotus,T1 VS DFM
purp0,5,Breeze,KC VS GX
Estrella,5,Split,TS VS RRQ
Benkai,5,Sunset,GE VS ZETA
Russ,5,Lotus,GE VS TLN
neth,5,Ascent,BLD VS DFM
kon4n,5,Split,NRG VS FUR
Redgar,5,Breeze,KC VS GX
ShadoW,5,Icebox,BBL VS KOI
blaZek1ng,5,Ascent,GE VS DRX
SSeeS,5,Split,GEN VS DFM
Wailers,5,Split,KC VS M8
Boaster,5,Icebox,FNC VS TH
Lakia,5,Split,GEN VS DRX
blaZek1ng,5,Icebox,GE VS TLN
iZu,5,Bind,T1 VS DRX
kamo,5,Icebox,FNC VS KOI
Derke,5,Breeze,FNC VS GX
Governor,5,Ascent,GEN VS TLN
yay,5,Lotus,BLD VS RRQ
Surf,5,Lotus,GE VS TLN
kamo,4,Breeze,BBL VS KOI
Boaster,4,Icebox,FNC VS KOI
Boostio,4,Split,SEN VS 100T
Boo,4,Sunset,VIT VS TH
Estrella,4,Ascent,T1 VS RRQ
stax,4,Ascent,GE VS DRX
Redgar,3,Sunset,KC VS GX
beyAz,3,Icebox,KC VS M8
Retla,2,Icebox,BLD VS TLN
ceNder,2,Lotus,VIT VS NAVI
Zest,2,Lotus,BLD VS RRQ
Wailers,2,Lotus,M8 VS FNC
Apoth,2,Icebox,G2 VS EG
fl1pzjder,0,Icebox,BLD VS RRQ
JessieVash,0,Lotus,TS VS ZETA
