Name,Kills,Map,MatchTeams
Laz,20,Ascent,BLD VS ZETA
MrFaliN,20,Ascent,VIT VS FUT
Fit1nho,20,Sunset,KC VS GX
something,20,Bind,T1 VS PRX
MaKo,20,Lotus,TS VS DRX
runi,20,Sunset,C9 VS LEV
yay,20,Lotus,BLD VS TLN
zekken,20,Split,SEN VS 100T
MiniBoo,19,Icebox,FNC VS TH
benjyfishy,19,Icebox,FNC VS TH
marteen,19,Bind,KC VS NAVI
logaN,19,Icebox,KC VS M8
SugarZ3ro,19,Lotus,TS VS ZETA
Laz,19,Ascent,GE VS ZETA
N4RRATE,19,Icebox,KC VS M8
N4RRATE,19,Bind,KC VS NAVI
nAts,19,Icebox,TL VS GX
Russ,19,Icebox,GE VS ZETA
Jinggg,19,Lotus,T1 VS PRX
something,19,Icebox,GEN VS PRX
Mazino,19,Ascent,C9 VS LEV
purp0,19,Lotus,TL VS GX
keznit,19,Breeze,KRU VS FUR
purp0,19,Sunset,KC VS GX
JitBoyS,19,Lotus,BLD VS TLN
moose,19,Ascent,C9 VS LEV
Laz,19,Sunset,BLD VS ZETA
Demon1,19,Breeze,NRG VS LOUD
Meteor,19,Ascent,GEN VS DRX
RieNs,19,Sunset,VIT VS TH
Jamppi,19,Lotus,TL VS NAVI
BuZz,19,Split,T1 VS DRX
Chronicle,19,Split,FNC VS GX
runneR,19,Bind,VIT VS NAVI
xccurate,19,Lotus,T1 VS RRQ
Zyppan,19,Split,KC VS NAVI
trexx,19,Sunset,VIT VS FUT
Chronicle,19,Lotus,M8 VS FNC
MaKo,19,Bind,GEN VS DRX
cNed,19,Split,TL VS FUT
ardiis,19,Split,TL VS NAVI
Sayaplayer,19,Lotus,T1 VS RRQ
QutionerX,19,Sunset,BBL VS M8
Sayf,19,Breeze,VIT VS TH
Sayaplayer,19,Ascent,T1 VS DFM
Sayaplayer,19,Lotus,T1 VS PRX
yuran,19,Lotus,TS VS ZETA
BORKUM,19,Icebox,TS VS ZETA
ban,19,Breeze,GE VS TLN
BORKUM,19,Breeze,TS VS RRQ
Demon1,19,Sunset,NRG VS LOUD
trent,19,Split,G2 VS 100T
MrFaliN,19,Icebox,TL VS FUT
N4RRATE,19,Sunset,KC VS GX
qRaxs,19,Lotus,KC VS FUT
Medusa,19,Ascent,T1 VS DFM
TenZ,19,Icebox,SEN VS LEV
Polvi,19,Icebox,GE VS ZETA
TenZ,18,Lotus,SEN VS LEV
Keiko,18,Icebox,TL VS GX
Derke,18,Lotus,FNC VS TH
Jinggg,18,Lotus,GEN VS PRX
Kicks,18,Icebox,VIT VS TH
supamen,18,Lotus,C9 VS EG
Benkai,18,Breeze,GE VS TLN
Chronicle,18,Bind,FNC VS KOI
Enzo,18,Lotus,TL VS GX
ban,18,Ascent,GEN VS TLN
Russ,18,Ascent,GE VS ZETA
Laz,18,Icebox,GE VS ZETA
Elite,18,Ascent,BBL VS M8
kiNgg,18,Icebox,SEN VS LEV
something,18,Lotus,T1 VS PRX
BuZz,18,Lotus,TS VS DRX
NaturE,18,Lotus,C9 VS EG
runneR,18,Icebox,VIT VS FUT
Jinggg,18,Icebox,GEN VS PRX
Rossy,18,Bind,T1 VS PRX
