Name,Rating,Map,MatchTeams
runi,1.28,Lotus,C9 VS EG
Karon,1.28,Ascent,GEN VS TLN
runi,1.27,Split,C9 VS EG
Shao,1.27,Ascent,TL VS NAVI
eeiu,1.27,Bind,G2 VS 100T
ANGE1,1.27,Sunset,KC VS NAVI
Victor,1.27,Sunset,NRG VS LOUD
Elite,1.27,Sunset,BBL VS M8
Marved,1.27,Sunset,NRG VS LOUD
invy,1.27,Split,TS VS RRQ
Laz,1.27,Ascent,GE VS ZETA
Redgar,1.27,Icebox,TL VS GX
keznit,1.27,Breeze,KRU VS FUR
Jemkin,1.26,Split,TS VS RRQ
ardiis,1.26,Bind,KC VS NAVI
nAts,1.26,Split,KOI VS TL
Benkai,1.26,Icebox,GE VS TLN
Leo,1.26,Lotus,M8 VS FNC
NaturE,1.26,Lotus,G2 VS EG
marteen,1.25,Split,KC VS M8
Shao,1.25,Bind,VIT VS NAVI
MaKo,1.25,Sunset,TS VS DRX
Lakia,1.25,Lotus,GEN VS DFM
fl1pzjder,1.25,Breeze,TS VS RRQ
marteen,1.25,Bind,KC VS FUT
sScary,1.24,Bind,BLD VS TLN
Wailers,1.24,Ascent,BBL VS M8
trexx,1.24,Breeze,VIT VS TH
SugarZ3ro,1.24,Ascent,GE VS ZETA
Cloud,1.24,Sunset,KC VS GX
Demon1,1.24,Breeze,NRG VS LOUD
Kicks,1.24,Sunset,VIT VS TH
Jemkin,1.24,Icebox,TS VS RRQ
keznit,1.24,Icebox,KRU VS FUR
keznit,1.24,Sunset,KRU VS MIBR
tomaszy,1.24,Sunset,KC VS NAVI
Meiy,1.23,Sunset,T1 VS DFM
vanity,1.23,Sunset,C9 VS LEV
nzr,1.23,Breeze,NRG VS FUR
Russ,1.23,Breeze,GE VS TLN
MiniBoo,1.23,Sunset,VIT VS TH
Derke,1.23,Bind,FNC VS KOI
d4v41,1.22,Bind,T1 VS PRX
cNed,1.22,Ascent,VIT VS FUT
Xeppaa,1.22,Sunset,C9 VS EG
Chronicle,1.22,Breeze,M8 VS FNC
blaZek1ng,1.22,Lotus,GE VS TLN
Sayaplayer,1.22,Ascent,T1 VS RRQ
ardiis,1.22,Lotus,VIT VS NAVI
Deryeon,1.22,Sunset,BLD VS ZETA
grubinho,1.22,Bind,FNC VS KOI
benjyfishy,1.22,Sunset,BBL VS TH
t3xture,1.22,Lotus,GEN VS TLN
Zyppan,1.22,Split,KC VS NAVI
invy,1.22,Lotus,TS VS DRX
BeYN,1.21,Lotus,GE VS DRX
eeiu,1.21,Split,G2 VS 100T
tomaszy,1.21,Breeze,KC VS GX
johnqt,1.21,Split,SEN VS 100T
Mistic,1.21,Lotus,TL VS NAVI
ardiis,1.21,Split,TL VS NAVI
tomaszy,1.21,Bind,KC VS NAVI
Leo,1.21,Lotus,FNC VS TH
f0rsakeN,1.21,Icebox,GEN VS PRX
Munchkin,1.2,Lotus,GEN VS TLN
yetujey,1.2,Split,TL VS FUT
Deryeon,1.2,Lotus,BLD VS TLN
MrFaliN,1.2,Split,TL VS FUT
Kicks,1.2,Icebox,VIT VS TH
MrFaliN,1.2,Lotus,KC VS FUT
SUYGETSU,1.2,Split,KC VS NAVI
supamen,1.2,Lotus,C9 VS EG
ceNder,1.2,Icebox,VIT VS TH
johnqt,1.2,Lotus,SEN VS LEV
Lightningfast,1.2,Breeze,GE VS TLN
Chronicle,1.19,Bind,FNC VS KOI
RieNs,1.19,Breeze,VIT VS TH
Anthem,1.19,Ascent,T1 VS DFM
NDG,1.19,Split,TS VS RRQ
crashies,1.19,Breeze,NRG VS LOUD
Foxy9,1.19,Lotus,GE VS DRX
Governor,1.19,Lotus,GE VS TLN
beyAz,1.19,Ascent,BBL VS M8
MrFaliN,1.19,Icebox,TL VS FUT
N4RRATE,1.19,Sunset,KC VS GX
Laz,1.19,Sunset,BLD VS ZETA
cNed,1.19,Sunset,VIT VS FUT
Keiko,1.19,Icebox,TL VS GX
MrFaliN,1.19,Ascent,VIT VS FUT
Sayf,1.18,Bind,VIT VS NAVI
Crws,1.18,Lotus,GE VS TLN
SUYGETSU,1.18,Ascent,TL VS NAVI
Munchkin,1.18,Split,GEN VS DFM
Chronicle,1.18,Bind,FNC VS GX
ardiis,1.18,Split,KC VS NAVI
mwzera,1.18,Icebox,KRU VS FUR
f0rsakeN,1.18,Bind,GEN VS PRX
kiNgg,1.18,Lotus,SEN VS LEV
Laz,1.18,Ascent,BLD VS ZETA
Cloud,1.18,Ascent,TL VS GX
JitBoyS,1.18,Lotus,BLD VS TLN
Foxy9,1.17,Split,T1 VS DRX
Fit1nho,1.17,Lotus,TL VS GX
Russ,1.17,Icebox,GE VS ZETA
Klaus,1.17,Breeze,KRU VS FUR
Jinggg,1.17,Lotus,T1 VS PRX
something,1.17,Icebox,GEN VS PRX
Jinggg,1.17,Bind,T1 VS PRX
keznit,1.17,Icebox,KRU VS MIBR
purp0,1.17,Sunset,KC VS GX
Lmemore,1.17,Lotus,T1 VS RRQ
Sayf,1.16,Ascent,VIT VS FUT
MaKo,1.16,Lotus,GE VS DRX
Klaus,1.16,Sunset,KRU VS MIBR
Rossy,1.16,Lotus,T1 VS DFM
sh1n,1.16,Sunset,KC VS GX
Leo,1.16,Bind,FNC VS KOI
Derrek,1.16,Lotus,C9 VS EG
C0M,1.16,Icebox,SEN VS LEV
Jemkin,1.16,Icebox,BLD VS RRQ
johnqt,1.16,Icebox,SEN VS 100T
Melser,1.16,Lotus,KRU VS FUR
trexx,1.16,Icebox,VIT VS TH
SUYGETSU,1.16,Split,TL VS NAVI
Keiko,1.16,Lotus,TL VS NAVI
Jamppi,1.16,Lotus,TL VS NAVI
RieNs,1.16,Sunset,VIT VS TH
MaKo,1.16,Breeze,T1 VS DRX
xccurate,1.16,Lotus,T1 VS PRX
BuZz,1.16,Ascent,GE VS DRX
logaN,1.16,Icebox,KC VS M8
yay,1.16,Lotus,BLD VS TLN
yay,1.16,Ascent,BLD VS ZETA
Jremy,1.16,Icebox,TS VS RRQ
Cloud,1.15,Lotus,TL VS GX
Mistic,1.15,Split,KOI VS TL
heat,1.15,Sunset,KRU VS MIBR
ceNder,1.15,Icebox,VIT VS FUT
yetujey,1.15,Icebox,TL VS FUT
BORKUM,1.15,Breeze,TS VS RRQ
Foxy9,1.15,Sunset,TS VS DRX
aspas,1.15,Icebox,SEN VS LEV
Demon1,1.15,Breeze,NRG VS FUR
Jremy,1.14,Lotus,TS VS ZETA
bang,1.14,Icebox,SEN VS 100T
paTiTek,1.14,Sunset,VIT VS TH
jawgemo,1.14,Lotus,C9 VS EG
xffero,1.13,Breeze,TS VS RRQ
BeYN,1.13,Split,T1 VS DRX
Zest,1.13,Lotus,BLD VS ZETA
Boaster,1.13,Breeze,M8 VS FNC
starxo,1.13,Bind,FNC VS KOI
Leo,1.13,Bind,FNC VS GX
AtaKaptan,1.13,Split,TL VS FUT
Sacy,1.13,Split,SEN VS 100T
TenZ,1.13,Icebox,SEN VS LEV
purp0,1.13,Bind,FNC VS GX
Medusa,1.13,Ascent,T1 VS DFM
Meiy,1.13,Lotus,T1 VS DFM
Meteor,1.13,Lotus,GEN VS PRX
zekken,1.13,Split,SEN VS 100T
heat,1.12,Icebox,KRU VS MIBR
vanity,1.12,Sunset,C9 VS EG
Laz,1.12,Lotus,TS VS ZETA
JonahP,1.12,Bind,G2 VS 100T
Rossy,1.12,Bind,T1 VS DRX
MrFaliN,1.12,Icebox,VIT VS FUT
MrFaliN,1.12,Breeze,KC VS FUT
MAGNUM,1.12,Sunset,KC VS NAVI
Jamppi,1.12,Split,KOI VS TL
TenZ,1.12,Icebox,SEN VS 100T
BuZz,1.12,Lotus,GE VS DRX
Keiko,1.12,Split,TL VS NAVI
runi,1.12,Ascent,C9 VS LEV
Fit1nho,1.12,Icebox,TL VS GX
ANGE1,1.12,Split,KC VS NAVI
invy,1.11,Icebox,TS VS RRQ
Jinggg,1.11,Icebox,GEN VS PRX
sScary,1.11,Ascent,BLD VS ZETA
fl1pzjder,1.11,Lotus,BLD VS RRQ
Foxy9,1.11,Lotus,TS VS DRX
Rossy,1.11,Bind,T1 VS PRX
yuran,1.11,Ascent,GE VS ZETA
cNed,1.11,Bind,KC VS FUT
Jinggg,1.11,Bind,GEN VS PRX
lenne,1.11,Ascent,GEN VS TLN
trent,1.11,Split,G2 VS 100T
Sayaplayer,1.11,Ascent,T1 VS DFM
Enzo,1.11,Ascent,TL VS NAVI
nAts,1.11,Ascent,KOI VS TL
Russ,1.11,Lotus,GE VS DRX
Sayaplayer,1.11,Lotus,T1 VS PRX
trexx,1.11,Ascent,VIT VS FUT
ceNder,1.11,Breeze,VIT VS TH
Cryocells,1.1,Split,G2 VS 100T
Khalil,1.1,Icebox,KRU VS FUR
JitBoyS,1.1,Lotus,GE VS TLN
something,1.1,Bind,T1 VS PRX
Elite,1.1,Split,BBL VS TH
Carpe,1.1,Ascent,T1 VS RRQ
hoody,1.1,Breeze,FNC VS GX
Keiko,1.1,Ascent,KOI VS TL
Enzo,1.1,Ascent,KOI VS TL
NaturE,1.1,Lotus,C9 VS EG
bang,1.1,Bind,G2 VS 100T
pAura,1.1,Ascent,BBL VS M8
runneR,1.1,Lotus,VIT VS NAVI
Sayaplayer,1.1,Lotus,T1 VS RRQ
Apoth,1.1,Sunset,C9 VS EG
runneR,1.1,Icebox,VIT VS FUT
ardiis,1.1,Ascent,TL VS NAVI
NDG,1.1,Icebox,TS VS ZETA
yuran,1.1,Lotus,BLD VS ZETA
iZu,1.09,Sunset,T1 VS DFM
Shyy,1.09,Lotus,KRU VS FUR
MAGNUM,1.09,Breeze,KC VS GX
SugarZ3ro,1.09,Lotus,BLD VS ZETA
xccurate,1.09,Ascent,T1 VS RRQ
BeYN,1.09,Bind,T1 VS DRX
pAura,1.09,Split,BBL VS TH
ceNder,1.09,Sunset,VIT VS FUT
Crws,1.09,Lotus,GEN VS TLN
Mazino,1.09,Lotus,SEN VS LEV
Karon,1.09,Lotus,GEN VS TLN
kiNgg,1.09,Icebox,SEN VS LEV
Surf,1.09,Bind,BLD VS TLN
something,1.09,Lotus,T1 VS PRX
Russ,1.09,Ascent,GE VS DRX
BuZz,1.09,Lotus,TS VS DRX
Keiko,1.09,Icebox,TL VS FUT
Zellsis,1.08,Icebox,SEN VS LEV
Karon,1.08,Split,GEN VS DFM
Mistic,1.08,Icebox,TL VS GX
Keiko,1.08,Ascent,TL VS GX
benjyfishy,1.08,Lotus,FNC VS TH
Boaster,1.08,Lotus,FNC VS TH
Ethan,1.08,Breeze,NRG VS FUR
ban,1.08,Lotus,GEN VS TLN
sh1n,1.08,Split,KC VS M8
Carpe,1.08,Bind,T1 VS PRX
Governor,1.08,Icebox,GE VS TLN
Polvi,1.08,Ascent,GE VS DRX
RieNs,1.08,Lotus,FNC VS TH
Laz,1.08,Icebox,GE VS ZETA
logaN,1.07,Breeze,M8 VS FNC
Shyy,1.07,Icebox,KRU VS MIBR
stax,1.07,Sunset,TS VS DRX
Lakia,1.07,Lotus,GEN VS PRX
hiroronn,1.07,Icebox,TS VS ZETA
runneR,1.07,Sunset,VIT VS FUT
Zellsis,1.07,Icebox,SEN VS 100T
Alfajer,1.07,Lotus,FNC VS TH
Lmemore,1.07,Breeze,TS VS RRQ
ban,1.07,Ascent,GEN VS TLN
Russ,1.07,Ascent,GE VS ZETA
neth,1.07,Sunset,T1 VS DFM
nataNk,1.07,Breeze,M8 VS FNC
SSeeS,1.06,Sunset,T1 VS DFM
MAGNUM,1.06,Sunset,KC VS GX
SUYGETSU,1.06,Bind,KC VS NAVI
Medusa,1.06,Split,GEN VS DFM
valyn,1.06,Bind,G2 VS 100T
BeYN,1.06,Breeze,T1 VS DRX
trent,1.06,Bind,G2 VS 100T
BuZz,1.06,Breeze,T1 VS DRX
kamo,1.06,Icebox,BBL VS KOI
qRaxs,1.05,Split,TL VS FUT
d4v41,1.05,Lotus,GEN VS PRX
vanity,1.05,Split,C9 VS EG
Melser,1.05,Sunset,KRU VS MIBR
Melser,1.05,Breeze,KRU VS FUR
Lakia,1.05,Lotus,GEN VS TLN
Boo,1.05,Lotus,FNC VS TH
Laz,1.05,Sunset,TS VS ZETA
Governor,1.05,Breeze,GE VS TLN
Xeppaa,1.05,Ascent,C9 VS LEV
sheydos,1.05,Ascent,KOI VS TL
Polvi,1.05,Icebox,GE VS TLN
ShadoW,1.05,Ascent,KOI VS TL
BeYN,1.04,Lotus,TS VS DRX
Crws,1.04,Icebox,BLD VS TLN
kiNgg,1.04,Icebox,C9 VS LEV
Melser,1.04,Icebox,KRU VS MIBR
d4v41,1.04,Icebox,GEN VS PRX
t3xture,1.04,Lotus,GEN VS DFM
mindfreak,1.04,Lotus,T1 VS PRX
zekken,1.04,Icebox,SEN VS LEV
f0rsakeN,1.04,Bind,T1 VS PRX
t3xture,1.04,Lotus,GEN VS PRX
nataNk,1.04,Icebox,KC VS M8
nAts,1.04,Split,TL VS NAVI
runneR,1.04,Bind,VIT VS NAVI
MrFaliN,1.03,Bind,KC VS FUT
SSeeS,1.03,Ascent,T1 VS DFM
AtaKaptan,1.03,Ascent,VIT VS FUT
Carpe,1.03,Ascent,T1 VS DFM
invy,1.03,Sunset,TS VS DRX
d4v41,1.03,Lotus,T1 VS PRX
reazy,1.03,Sunset,BBL VS TH
Benkai,1.03,Ascent,GE VS ZETA
Lightningfast,1.03,Ascent,GE VS ZETA
Governor,1.03,Bind,BLD VS TLN
f0rsakeN,1.03,Lotus,T1 VS PRX
sScary,1.03,Lotus,BLD VS ZETA
Elite,1.03,Ascent,BBL VS M8
grubinho,1.03,Split,KOI VS TL
Shyy,1.02,Sunset,KRU VS MIBR
Retla,1.02,Lotus,BLD VS TLN
Estrella,1.02,Icebox,TS VS RRQ
mindfreak,1.02,Icebox,GEN VS PRX
purp0,1.02,Split,FNC VS GX
Mistic,1.02,Lotus,TL VS GX
Sayf,1.02,Breeze,VIT VS TH
QutionerX,1.02,Sunset,BBL VS M8
nataNk,1.02,Sunset,BBL VS M8
nataNk,1.02,Lotus,M8 VS FNC
yay,1.01,Icebox,BLD VS TLN
neth,1.01,Ascent,T1 VS DFM
BeYN,1.01,Ascent,GE VS DRX
stax,1.01,Lotus,TS VS DRX
SUYGETSU,1.01,Sunset,KC VS NAVI
kiNgg,1.01,Sunset,C9 VS LEV
Shao,1.01,Lotus,TL VS NAVI
runi,1.01,Sunset,C9 VS EG
Keiko,1.01,Lotus,TL VS GX
tuyz,1.01,Breeze,NRG VS LOUD
sh1n,1.01,Lotus,KC VS FUT
jzz,1.01,Icebox,KRU VS MIBR
yuran,1.01,Ascent,BLD VS ZETA
Sayf,1.01,Sunset,VIT VS TH
JessieVash,1.01,Sunset,TS VS DRX
Munchkin,1.01,Icebox,GEN VS PRX
SugarZ3ro,1.0,Ascent,BLD VS ZETA
f0rsakeN,1.0,Lotus,GEN VS PRX
xccurate,1.0,Breeze,T1 VS DRX
Jamppi,1.0,Ascent,KOI VS TL
Lmemore,1.0,Icebox,TS VS RRQ
OXY,1.0,Sunset,C9 VS LEV
sheydos,1.0,Bind,FNC VS KOI
Deryeon,1.0,Icebox,BLD VS TLN
kamo,1.0,Split,KOI VS TL
Retla,1.0,Sunset,BLD VS ZETA
xffero,1.0,Split,TS VS RRQ
Polvi,1.0,Icebox,GE VS ZETA
NaturE,1.0,Icebox,G2 VS EG
blaZek1ng,1.0,Ascent,GE VS ZETA
Mistic,0.99,Ascent,TL VS GX
Boaster,0.99,Split,FNC VS GX
Lakia,0.99,Split,GEN VS DFM
d4v41,0.99,Bind,GEN VS PRX
Boostio,0.99,Bind,G2 VS 100T
sh1n,0.99,Icebox,KC VS M8
Medusa,0.99,Sunset,T1 VS DFM
BORKUM,0.99,Icebox,TS VS RRQ
Meteor,0.99,Lotus,GEN VS TLN
Enzo,0.99,Lotus,TL VS GX
Sayf,0.99,Icebox,VIT VS FUT
Redgar,0.99,Ascent,TL VS GX
Kicks,0.98,Ascent,VIT VS FUT
Chronicle,0.98,Lotus,FNC VS TH
Anthem,0.98,Split,GEN VS DFM
marteen,0.98,Split,KC VS NAVI
kon4n,0.98,Breeze,NRG VS FUR
Crws,0.98,Bind,BLD VS TLN
Enzo,0.98,Split,KOI VS TL
Marved,0.98,Breeze,NRG VS FUR
MAGNUM,0.98,Split,KC VS M8
pAura,0.98,Sunset,BBL VS TH
Karon,0.98,Bind,GEN VS PRX
Estrella,0.98,Breeze,TS VS RRQ
QutionerX,0.98,Split,BBL VS TH
Dep,0.98,Icebox,TS VS ZETA
AtaKaptan,0.98,Icebox,VIT VS FUT
Governor,0.98,Lotus,GEN VS TLN
Sayaplayer,0.98,Breeze,T1 VS DRX
grubinho,0.98,Icebox,FNC VS KOI
sScary,0.98,Icebox,BLD VS RRQ
Karon,0.98,Icebox,GEN VS PRX
Lightningfast,0.98,Ascent,GE VS DRX
Lightningfast,0.98,Lotus,GE VS TLN
Boo,0.98,Breeze,VIT VS TH
Benkai,0.97,Breeze,GE VS TLN
reazy,0.97,Icebox,BBL VS KOI
tex,0.97,Icebox,SEN VS LEV
Munchkin,0.97,Ascent,GEN VS TLN
Apoth,0.97,Lotus,C9 VS EG
kon4n,0.97,Icebox,KRU VS FUR
Retla,0.97,Ascent,BLD VS ZETA
Kicks,0.97,Breeze,VIT VS TH
Dep,0.97,Lotus,BLD VS ZETA
Lakia,0.97,Icebox,GEN VS PRX
Ethan,0.97,Sunset,NRG VS LOUD
Zyppan,0.97,Bind,KC VS NAVI
yetujey,0.97,Icebox,VIT VS FUT
Benkai,0.97,Lotus,GE VS DRX
Asuna,0.97,Split,SEN VS 100T
trexx,0.97,Bind,VIT VS NAVI
Anthem,0.96,Sunset,T1 VS DFM
moose,0.96,Lotus,C9 VS EG
AtaKaptan,0.96,Lotus,KC VS FUT
sheydos,0.96,Icebox,BBL VS KOI
qRaxs,0.96,Bind,KC VS FUT
Jremy,0.96,Icebox,TS VS ZETA
Leo,0.96,Icebox,FNC VS TH
Dep,0.95,Sunset,BLD VS ZETA
SUYGETSU,0.95,Bind,VIT VS NAVI
NaturE,0.95,Sunset,C9 VS EG
N4RRATE,0.95,Bind,KC VS FUT
logaN,0.95,Ascent,BBL VS M8
Crws,0.95,Lotus,BLD VS TLN
BORKUM,0.95,Lotus,TS VS DRX
grubinho,0.95,Breeze,BBL VS KOI
Retla,0.95,Lotus,BLD VS ZETA
Enzo,0.95,Lotus,TL VS NAVI
tex,0.95,Ascent,C9 VS LEV
Meteor,0.95,Split,GEN VS DFM
NDG,0.95,Breeze,TS VS RRQ
mwzera,0.95,Breeze,NRG VS FUR
BuZz,0.95,Sunset,TS VS DRX
Alfajer,0.95,Breeze,FNC VS GX
yay,0.95,Bind,BLD VS TLN
Derke,0.95,Icebox,FNC VS TH
Jremy,0.95,Sunset,TS VS ZETA
paTiTek,0.95,Icebox,FNC VS TH
Zyppan,0.95,Lotus,TL VS NAVI
Zest,0.95,Sunset,BLD VS ZETA
leaf,0.95,Bind,G2 VS 100T
tomaszy,0.94,Bind,KC VS FUT
MAGNUM,0.94,Bind,KC VS FUT
Rossy,0.94,Lotus,T1 VS PRX
NDG,0.94,Sunset,TS VS ZETA
ceNder,0.94,Bind,VIT VS NAVI
