Name,First Kills,Map,MatchTeams
Carpe,1,Sunset,T1 VS DFM
kamo,1,Bind,FNC VS KOI
sh1n,1,Split,KC VS NAVI
vanity,1,Icebox,C9 VS LEV
paTiTek,1,Icebox,VIT VS TH
Meteor,1,Ascent,GEN VS TLN
Less,1,Sunset,NRG VS LOUD
BeYN,1,Lotus,GE VS DRX
Lmemore,1,Lotus,BLD VS RRQ
neth,1,Ascent,T1 VS DFM
RieNs,1,Sunset,BBL VS TH
Benkai,1,Ascent,GE VS DRX
Deryeon,1,Bind,BLD VS TLN
johnqt,1,Split,SEN VS 100T
SUYGETSU,1,Ascent,TL VS NAVI
MaKo,1,Ascent,GE VS DRX
MAGNUM,1,Split,KC VS NAVI
ardiis,1,Lotus,VIT VS NAVI
Mistic,1,Split,KOI VS TL
nAts,1,Lotus,TL VS GX
paTiTek,1,Lotus,FNC VS TH
SSeeS,1,Ascent,BLD VS DFM
fl1pzjder,1,Ascent,T1 VS RRQ
xffero,1,Icebox,BLD VS RRQ
qRaxs,1,Ascent,VIT VS FUT
blaZek1ng,1,Lotus,GE VS DRX
crashies,1,Breeze,NRG VS LOUD
trent,1,Split,G2 VS 100T
MAGNUM,1,Lotus,KC VS FUT
Meteor,1,Icebox,GEN VS PRX
BeYN,1,Split,T1 VS DRX
beyAz,1,Ascent,BBL VS M8
beyAz,1,Breeze,M8 VS FNC
ceNder,1,Breeze,VIT VS TH
Surf,1,Lotus,GE VS TLN
Surf,1,Icebox,BLD VS TLN
Russ,1,Lotus,GE VS DRX
sh1n,1,Bind,KC VS NAVI
nAts,1,Ascent,TL VS NAVI
cNed,1,Bind,KC VS FUT
tomaszy,1,Breeze,KC VS FUT
Foxy9,1,Lotus,TS VS DRX
Crws,1,Icebox,GE VS TLN
johnqt,1,Icebox,SEN VS LEV
vanity,1,Sunset,C9 VS EG
Klaus,1,Icebox,KRU VS FUR
Crws,1,Ascent,GEN VS TLN
Medusa,1,Lotus,T1 VS DFM
heat,1,Icebox,KRU VS FUR
tomaszy,1,Split,KC VS M8
nzr,1,Breeze,KRU VS FUR
heat,1,Icebox,KRU VS MIBR
Derrek,1,Split,C9 VS EG
Khalil,1,Lotus,KRU VS FUR
runi,1,Ascent,C9 VS LEV
beyAz,1,Sunset,BBL VS M8
xffero,1,Ascent,T1 VS RRQ
JitBoyS,1,Bind,BLD VS TLN
logaN,1,Lotus,M8 VS FNC
reazy,1,Ascent,BBL VS M8
Wailers,1,Breeze,M8 VS FNC
Anthem,1,Ascent,T1 VS DFM
QutionerX,1,Breeze,BBL VS KOI
BORKUM,1,Sunset,TS VS DRX
sheydos,1,Breeze,BBL VS KOI
Sacy,1,Icebox,SEN VS LEV
Redgar,1,Lotus,TL VS GX
fl1pzjder,1,Lotus,BLD VS RRQ
Keiko,1,Ascent,KOI VS TL
Xeppaa,1,Lotus,C9 VS EG
mindfreak,1,Bind,GEN VS PRX
Mazino,1,Icebox,SEN VS LEV
Mistic,1,Icebox,TL VS GX
Redgar,1,Split,FNC VS GX
yuran,1,Sunset,BLD VS ZETA
neth,1,Lotus,T1 VS DFM
Munchkin,1,Bind,GEN VS PRX
Mazino,1,Ascent,C9 VS LEV
Jamppi,1,Split,TL VS NAVI
JessieVash,1,Breeze,TS VS RRQ
hoody,1,Icebox,TL VS GX
Karon,1,Split,GEN VS DRX
blaZek1ng,1,Icebox,GE VS TLN
Dep,1,Ascent,BLD VS ZETA
Sayf,1,Bind,VIT VS NAVI
Zest,1,Icebox,BLD VS TLN
tuyz,1,Sunset,NRG VS LOUD
Deryeon,1,Lotus,BLD VS ZETA
Brave,1,Split,BBL VS TH
Sayaplayer,1,Split,T1 VS DRX
hoody,1,Ascent,TL VS GX
Kicks,1,Icebox,VIT VS FUT
sScary,1,Ascent,BLD VS ZETA
Jinggg,1,Icebox,GEN VS PRX
Estrella,1,Icebox,BLD VS RRQ
Anthem,1,Ascent,BLD VS DFM
Kicks,1,Lotus,VIT VS NAVI
Lakia,1,Bind,GEN VS DRX
crashies,1,Sunset,NRG VS LOUD
JitBoyS,1,Lotus,GEN VS TLN
tomaszy,1,Icebox,KC VS M8
sh1n,1,Sunset,KC VS NAVI
reazy,1,Breeze,BBL VS KOI
Lightningfast,1,Icebox,GE VS ZETA
MrFaliN,1,Lotus,KC VS FUT
neth,1,Split,GEN VS DFM
Leo,1,Bind,FNC VS GX
yetujey,1,Split,TL VS FUT
Dep,1,Sunset,GE VS ZETA
NaturE,1,Icebox,G2 VS EG
supamen,1,Icebox,G2 VS EG
Karon,1,Lotus,GEN VS DFM
sheydos,1,Split,KOI VS TL
SUYGETSU,1,Bind,VIT VS NAVI
mwzera,1,Split,NRG VS FUR
sh1n,1,Sunset,KC VS GX
logaN,1,Ascent,BBL VS M8
purp0,1,Breeze,FNC VS GX
BORKUM,1,Lotus,TS VS DRX
grubinho,1,Breeze,BBL VS KOI
Chronicle,1,Icebox,FNC VS KOI
JessieVash,1,Icebox,TS VS ZETA
NDG,1,Breeze,TS VS RRQ
leaf,1,Bind,G2 VS 100T
kiNgg,1,Icebox,C9 VS LEV
mwzera,1,Breeze,NRG VS FUR
sScary,1,Lotus,BLD VS ZETA
Derrek,1,Lotus,C9 VS EG
Leo,1,Lotus,M8 VS FNC
C0M,1,Icebox,SEN VS LEV
N4RRATE,1,Lotus,KC VS FUT
Russ,1,Icebox,GE VS TLN
moose,1,Lotus,C9 VS EG
Wailers,1,Split,KC VS M8
xccurate,1,Bind,T1 VS PRX
kon4n,1,Split,NRG VS FUR
Mazino,1,Icebox,C9 VS LEV
Medusa,1,Ascent,BLD VS DFM
hiroronn,1,Lotus,TS VS ZETA
d4v41,1,Lotus,GEN VS PRX
sheydos,1,Icebox,FNC VS KOI
ban,1,Icebox,BLD VS TLN
Klaus,1,Sunset,KRU VS MIBR
Zest,1,Ascent,BLD VS DFM
hiroronn,1,Ascent,BLD VS ZETA
yuran,1,Lotus,TS VS ZETA
Leo,1,Split,FNC VS GX
MAGNUM,1,Bind,KC VS FUT
Rossy,1,Lotus,T1 VS PRX
vanity,1,Lotus,C9 VS EG
cNed,1,Icebox,TL VS FUT
hiroronn,1,Lotus,BLD VS ZETA
Derrek,1,Icebox,G2 VS EG
johnqt,1,Icebox,SEN VS 100T
beyAz,1,Lotus,M8 VS FNC
Sayf,1,Icebox,VIT VS FUT
RieNs,1,Sunset,VIT VS TH
tomaszy,1,Split,KC VS NAVI
Boostio,1,Bind,G2 VS 100T
Mistic,1,Ascent,TL VS GX
Klaus,1,Icebox,KRU VS MIBR
leaf,1,Icebox,G2 VS EG
runi,1,Lotus,C9 VS EG
Karon,1,Ascent,GEN VS TLN
f0rsakeN,1,Lotus,GEN VS PRX
grubinho,1,Icebox,FNC VS KOI
Shao,1,Lotus,TL VS NAVI
Lmemore,1,Icebox,TS VS RRQ
Marved,1,Sunset,NRG VS LOUD
ANGE1,1,Lotus,TL VS NAVI
Deryeon,1,Icebox,BLD VS TLN
beyAz,1,Icebox,KC VS M8
blaZek1ng,1,Ascent,GE VS ZETA
stax,1,Lotus,TS VS DRX
sh1n,1,Lotus,KC VS FUT
Victor,1,Sunset,NRG VS LOUD
reazy,1,Icebox,BBL VS KOI
Boostio,1,Split,SEN VS 100T
Melser,1,Lotus,KRU VS FUR
stax,1,Ascent,GEN VS DRX
Munchkin,1,Split,GEN VS DRX
Carpe,1,Ascent,T1 VS DFM
Lakia,1,Icebox,GEN VS PRX
Ethan,1,Sunset,NRG VS LOUD
Boo,1,Sunset,VIT VS TH
trexx,1,Bind,VIT VS NAVI
nataNk,1,Lotus,M8 VS FNC
kamo,1,Breeze,BBL VS KOI
ardiis,1,Bind,KC VS NAVI
MAGNUM,1,Split,KC VS M8
TakaS,1,Lotus,M8 VS FNC
Enzo,1,Split,KOI VS TL
Kicks,1,Ascent,VIT VS FUT
NaturE,1,Lotus,G2 VS EG
Shyy,1,Sunset,KRU VS MIBR
Anthem,1,Split,GEN VS DFM
hiroronn,1,Icebox,GE VS ZETA
sScary,1,Lotus,BLD VS RRQ
Meteor,1,Ascent,GEN VS DRX
Mazino,1,Sunset,C9 VS LEV
Estrella,1,Lotus,BLD VS RRQ
nAts,1,Icebox,TL VS FUT
ceNder,1,Icebox,VIT VS FUT
Enzo,1,Icebox,TL VS FUT
logaN,1,Breeze,M8 VS FNC
mindfreak,1,Lotus,GEN VS PRX
Fit1nho,1,Lotus,TL VS GX
runneR,1,Sunset,VIT VS FUT
icy,1,Icebox,G2 VS EG
SugarZ3ro,1,Sunset,GE VS ZETA
Retla,1,Lotus,BLD VS DFM
xccurate,1,Sunset,T1 VS DFM
Shao,1,Split,KC VS NAVI
C0M,1,Icebox,C9 VS LEV
xffero,1,Icebox,TS VS RRQ
Deryeon,1,Lotus,BLD VS RRQ
ceNder,1,Sunset,VIT VS TH
Laz,1,Sunset,GE VS ZETA
hiroronn,1,Sunset,TS VS ZETA
JessieVash,1,Sunset,TS VS ZETA
Foxy9,1,Split,T1 VS DRX
TenZ,1,Icebox,SEN VS 100T
eeiu,1,Icebox,SEN VS 100T
trent,1,Icebox,G2 VS EG
Karon,1,Lotus,GEN VS PRX
Victor,1,Breeze,NRG VS LOUD
yuran,1,Icebox,GE VS ZETA
neth,1,Sunset,T1 VS DFM
Shyy,1,Breeze,KRU VS FUR
moose,1,Sunset,C9 VS LEV
Fit1nho,1,Ascent,TL VS GX
Mistic,1,Split,TL VS NAVI
iZu,1,Ascent,T1 VS RRQ
Russ,1,Ascent,GE VS ZETA
MAGNUM,1,Icebox,KC VS M8
ANGE1,1,Ascent,TL VS NAVI
vanity,1,Sunset,C9 VS LEV
yetujey,1,Sunset,VIT VS FUT
Lmemore,1,Breeze,TS VS RRQ
artzin,1,Sunset,KRU VS MIBR
Carpe,1,Lotus,T1 VS PRX
sScary,1,Sunset,BLD VS ZETA
MAGNUM,1,Sunset,KC VS GX
Ethan,1,Split,NRG VS FUR
Deryeon,1,Split,BLD VS DFM
Xeppaa,1,Sunset,C9 VS LEV
nataNk,1,Split,KC VS M8
paTiTek,1,Split,BBL VS TH
Benkai,1,Icebox,GE VS ZETA
Redgar,1,Breeze,FNC VS GX
qRaxs,1,Icebox,TL VS FUT
xccurate,1,Lotus,T1 VS PRX
Rossy,1,Ascent,T1 VS DFM
BuZz,1,Breeze,T1 VS DRX
Wailers,1,Ascent,BBL VS M8
Boaster,1,Icebox,FNC VS TH
nzr,1,Split,NRG VS FUR
Jamppi,1,Icebox,TL VS FUT
Deryeon,1,Ascent,BLD VS ZETA
Lightningfast,1,Sunset,GE VS ZETA
Brave,1,Sunset,BBL VS M8
SugarZ3ro,1,Ascent,GE VS ZETA
ShadoW,1,Ascent,KOI VS TL
Enzo,1,Icebox,TL VS GX
Russ,1,Breeze,GE VS TLN
SugarZ3ro,0,Sunset,TS VS ZETA
ceNder,0,Lotus,VIT VS NAVI
Derke,0,Breeze,FNC VS GX
Retla,0,Icebox,BLD VS TLN
Redgar,0,Sunset,KC VS GX
Benkai,0,Sunset,GE VS ZETA
neth,0,Ascent,BLD VS DFM
sh1n,0,Breeze,KC VS FUT
Cloud,0,Bind,FNC VS GX
Alfajer,0,Icebox,FNC VS TH
logaN,0,Icebox,KC VS M8
benjyfishy,0,Split,BBL VS TH
Zest,0,Lotus,BLD VS RRQ
xccurate,0,Split,T1 VS DRX
sh1n,0,Breeze,KC VS GX
Wailers,0,Lotus,M8 VS FNC
blaZek1ng,0,Sunset,GE VS ZETA
Apoth,0,Split,C9 VS EG
neth,0,Lotus,GEN VS DFM
Apoth,0,Icebox,G2 VS EG
Lakia,0,Split,GEN VS DRX
AtaKaptan,0,Sunset,VIT VS FUT
ardiis,0,Split,KC VS NAVI
Surf,0,Icebox,GE VS TLN
Russ,0,Lotus,GE VS TLN
Retla,0,Split,BLD VS DFM
Enzo,0,Split,TL VS FUT
beyAz,0,Split,KC VS M8
Zest,0,Lotus,BLD VS ZETA
Rossy,0,Split,T1 VS DRX
NaturE,0,Split,C9 VS EG
stax,0,Ascent,GE VS DRX
cauanzin,0,Sunset,NRG VS LOUD
Anthem,0,Lotus,T1 VS DFM
benjyfishy,0,Icebox,FNC VS TH
Redgar,0,Breeze,KC VS GX
kon4n,0,Breeze,KRU VS FUR
mwzera,0,Lotus,KRU VS FUR
Retla,0,Icebox,BLD VS RRQ
Estrella,0,Split,TS VS RRQ
Estrella,0,Ascent,T1 VS RRQ
fl1pzjder,0,Lotus,T1 VS RRQ
Lightningfast,0,Icebox,GE VS TLN
Zest,0,Bind,BLD VS TLN
SSeeS,0,Lotus,GEN VS DFM
Cloud,0,Icebox,TL VS GX
Surf,0,Lotus,GEN VS TLN
iZu,0,Split,T1 VS DRX
fl1pzjder,0,Icebox,BLD VS RRQ
Leo,0,Bind,FNC VS KOI
MaKo,0,Lotus,TS VS DRX
paTiTek,0,Breeze,VIT VS TH
invy,0,Lotus,TS VS ZETA
BORKUM,0,Split,TS VS RRQ
Zellsis,0,Split,SEN VS 100T
logaN,0,Sunset,BBL VS M8
SSeeS,0,Sunset,T1 VS DFM
mindfreak,0,Bind,T1 VS PRX
qRaxs,0,Split,TL VS FUT
Cryocells,0,Bind,G2 VS 100T
JessieVash,0,Split,TS VS RRQ
moose,0,Icebox,C9 VS LEV
Derrek,0,Lotus,G2 VS EG
Estrella,0,Lotus,T1 VS RRQ
Cloud,0,Breeze,KC VS GX
frz,0,Icebox,KRU VS MIBR
BeYN,0,Sunset,TS VS DRX
Kicks,0,Sunset,VIT VS TH
SugarZ3ro,0,Icebox,TS VS ZETA
N4RRATE,0,Breeze,KC VS FUT
Shao,0,Bind,VIT VS NAVI
Lakia,0,Lotus,GEN VS PRX
Crws,0,Breeze,GE VS TLN
Surf,0,Breeze,GE VS TLN
sScary,0,Icebox,BLD VS TLN
Sayf,0,Lotus,VIT VS NAVI
stax,0,Bind,T1 VS DRX
Boaster,0,Icebox,FNC VS KOI
stax,0,Sunset,TS VS DRX
SSeeS,0,Lotus,T1 VS DFM
SUYGETSU,0,Split,TL VS NAVI
Shyy,0,Icebox,KRU VS MIBR
nzr,0,Breeze,NRG VS FUR
qRaxs,0,Icebox,VIT VS FUT
crashies,0,Split,NRG VS FUR
Alfajer,0,Bind,FNC VS GX
tomaszy,0,Sunset,KC VS NAVI
NaturE,0,Sunset,C9 VS EG
SSeeS,0,Split,GEN VS DFM
Lakia,0,Split,GEN VS DFM
Crws,0,Bind,BLD VS TLN
Marved,0,Breeze,NRG VS FUR
AtaKaptan,0,Icebox,VIT VS FUT
invy,0,Sunset,TS VS ZETA
tuyz,0,Breeze,NRG VS LOUD
Boaster,0,Split,FNC VS GX
Shao,0,Ascent,TL VS NAVI
reazy,0,Split,BBL VS TH
sh1n,0,Icebox,KC VS M8
SSeeS,0,Lotus,BLD VS DFM
xccurate,0,Breeze,T1 VS DRX
SugarZ3ro,0,Ascent,BLD VS ZETA
SUYGETSU,0,Sunset,KC VS NAVI
BeYN,0,Ascent,GE VS DRX
reazy,0,Sunset,BBL VS TH
Benkai,0,Breeze,GE VS TLN
N4RRATE,0,Bind,KC VS FUT
Leo,0,Icebox,FNC VS KOI
Crws,0,Lotus,BLD VS TLN
Retla,0,Lotus,BLD VS ZETA
Elite,0,Sunset,BBL VS TH
Meteor,0,Bind,GEN VS DRX
Zest,0,Sunset,BLD VS ZETA
Crws,0,Icebox,BLD VS TLN
sheydos,0,Icebox,BBL VS KOI
Kicks,0,Breeze,VIT VS TH
Karon,0,Bind,GEN VS DRX
Benkai,0,Icebox,GE VS TLN
Leo,0,Icebox,FNC VS TH
tex,0,Icebox,SEN VS LEV
d4v41,0,Lotus,T1 VS PRX
invy,0,Sunset,TS VS DRX
RgLMeister,0,Sunset,KRU VS MIBR
Anthem,0,Lotus,BLD VS DFM
ardiis,0,Lotus,TL VS NAVI
reazy,0,Sunset,BBL VS M8
Elite,0,Icebox,BBL VS KOI
N4RRATE,0,Sunset,KC VS GX
Enzo,0,Ascent,TL VS GX
crashies,0,Breeze,NRG VS FUR
runi,0,Icebox,C9 VS LEV
Foxy9,0,Ascent,GEN VS DRX
hoody,0,Sunset,KC VS GX
JonahP,0,Split,G2 VS 100T
BeYN,0,Ascent,GEN VS DRX
yuran,0,Sunset,GE VS ZETA
Jamppi,0,Ascent,TL VS NAVI
Elite,0,Split,BBL VS TH
Kicks,0,Icebox,VIT VS TH
ShadoW,0,Split,KOI VS TL
QutionerX,0,Ascent,BBL VS M8
ShadoW,0,Icebox,BBL VS KOI
Karon,0,Split,GEN VS DFM
trexx,0,Sunset,VIT VS TH
blaZek1ng,0,Ascent,GE VS DRX
Leo,0,Breeze,FNC VS GX
Rossy,0,Bind,T1 VS DRX
Retla,0,Lotus,BLD VS RRQ
NDG,0,Split,TS VS RRQ
Lakia,0,Bind,GEN VS PRX
Alfajer,0,Breeze,M8 VS FNC
Benkai,0,Lotus,GE VS TLN
Surf,0,Lotus,BLD VS TLN
moose,0,Split,C9 VS EG
xccurate,0,Ascent,T1 VS DFM
Foxy9,0,Lotus,GE VS DRX
yuran,0,Icebox,TS VS ZETA
Carpe,0,Breeze,T1 VS DRX
JitBoyS,0,Lotus,GE VS TLN
Jamppi,0,Icebox,TL VS GX
SugarZ3ro,0,Icebox,GE VS ZETA
Sayaplayer,0,Bind,T1 VS PRX
Medusa,0,Lotus,GEN VS DFM
iZu,0,Lotus,T1 VS DFM
hiroronn,0,Sunset,BLD VS ZETA
Shyy,0,Lotus,KRU VS FUR
tomaszy,0,Bind,KC VS NAVI
Carpe,0,Lotus,T1 VS RRQ
Alfajer,0,Bind,FNC VS KOI
Khalil,0,Icebox,KRU VS FUR
N4RRATE,0,Sunset,KC VS NAVI
Kicks,0,Sunset,VIT VS FUT
hoody,0,Split,FNC VS GX
benjyfishy,0,Lotus,FNC VS TH
aspas,0,Sunset,C9 VS LEV
JonahP,0,Lotus,G2 VS EG
Carpe,0,Lotus,T1 VS DFM
MAGNUM,0,Bind,KC VS NAVI
Crws,0,Lotus,GEN VS TLN
nzr,0,Lotus,KRU VS FUR
Derrek,0,Sunset,C9 VS EG
Boo,0,Sunset,BBL VS TH
mazin,0,Icebox,KRU VS MIBR
benjyfishy,0,Icebox,VIT VS TH
ShadoW,0,Breeze,BBL VS KOI
Karon,0,Lotus,GEN VS TLN
moose,0,Sunset,C9 VS EG
Boostio,0,Split,G2 VS 100T
starxo,0,Icebox,FNC VS KOI
Mistic,0,Split,TL VS FUT
Zest,0,Lotus,BLD VS DFM
Rossy,0,Lotus,T1 VS RRQ
Enzo,0,Ascent,KOI VS TL
JessieVash,0,Lotus,TS VS ZETA
