Name,First Kills,Map,MatchTeams
cNed,4,Ascent,VIT VS FUT
Zellsis,4,Icebox,SEN VS LEV
t3xture,4,Lotus,GEN VS TLN
Zyppan,4,Split,KC VS NAVI
Laz,4,Icebox,GE VS ZETA
f0rsakeN,4,Icebox,GEN VS PRX
Leo,4,Lotus,FNC VS TH
RieNs,4,Lotus,FNC VS TH
sh1n,4,Split,KC VS M8
Xeppaa,4,Ascent,C9 VS LEV
Melser,4,Sunset,KRU VS MIBR
runneR,4,Bind,VIT VS NAVI
Mazino,4,Lotus,SEN VS LEV
keznit,4,Icebox,KRU VS FUR
Russ,4,Ascent,GE VS DRX
Munchkin,4,Lotus,GEN VS TLN
yuran,4,Lotus,BLD VS ZETA
Lakia,4,Lotus,GEN VS DFM
RieNs,4,Breeze,VIT VS TH
Governor,4,Bind,BLD VS TLN
grubinho,4,Split,KOI VS TL
Laz,4,Sunset,BLD VS ZETA
BuZz,4,Split,GEN VS DRX
runneR,4,Lotus,VIT VS NAVI
Chronicle,4,Breeze,M8 VS FNC
Sayaplayer,4,Lotus,T1 VS PRX
Enzo,4,Ascent,TL VS NAVI
Lmemore,4,Icebox,BLD VS RRQ
Victor,4,Split,NRG VS FUR
SUYGETSU,4,Lotus,TL VS NAVI
NDG,4,Sunset,TS VS DRX
Sayaplayer,4,Sunset,T1 VS DFM
Jremy,4,Sunset,TS VS DRX
MrFaliN,4,Sunset,VIT VS FUT
Jamppi,4,Lotus,TL VS NAVI
yay,4,Lotus,BLD VS ZETA
Derke,4,Breeze,M8 VS FNC
Alfajer,4,Split,FNC VS GX
ardiis,4,Bind,VIT VS NAVI
MiniBoo,4,Split,BBL VS TH
AtaKaptan,4,Icebox,TL VS FUT
kiNgg,4,Ascent,C9 VS LEV
Jemkin,4,Lotus,T1 VS RRQ
marteen,4,Breeze,KC VS GX
ban,4,Lotus,BLD VS TLN
Sacy,4,Lotus,SEN VS LEV
JonahP,4,Icebox,G2 VS EG
iZu,4,Bind,T1 VS PRX
pAura,4,Sunset,BBL VS M8
Zyppan,4,Ascent,TL VS NAVI
valyn,4,Icebox,G2 VS EG
MaKo,4,Split,T1 VS DRX
Chronicle,4,Lotus,M8 VS FNC
Zest,4,Ascent,BLD VS ZETA
blaZek1ng,4,Icebox,GE VS ZETA
Rossy,4,Ascent,T1 VS RRQ
Boo,4,Icebox,VIT VS TH
Zyppan,4,Bind,VIT VS NAVI
ardiis,4,Sunset,KC VS NAVI
ANGE1,4,Bind,VIT VS NAVI
Dep,4,Lotus,TS VS ZETA
N4RRATE,4,Bind,KC VS NAVI
N4RRATE,4,Icebox,KC VS M8
marteen,4,Bind,KC VS NAVI
logaN,4,Split,KC VS M8
Deryeon,4,Ascent,BLD VS DFM
t3xture,4,Ascent,GEN VS TLN
yetujey,4,Bind,KC VS FUT
Enzo,4,Lotus,TL VS NAVI
yay,4,Split,BLD VS DFM
Dep,4,Sunset,TS VS ZETA
Jremy,4,Breeze,TS VS RRQ
icy,4,Bind,G2 VS 100T
Derke,4,Bind,FNC VS GX
xccurate,4,Lotus,T1 VS DFM
trexx,4,Sunset,VIT VS FUT
Meteor,4,Split,GEN VS DFM
Dep,3,Lotus,BLD VS ZETA
mwzera,3,Breeze,KRU VS FUR
Lmemore,3,Ascent,T1 VS RRQ
