Name,HS Rate,Map,MatchTeams
Jamppi,0.26,Icebox,TL VS GX
eeiu,0.26,Split,G2 VS 100T
MAGNUM,0.26,Breeze,KC VS FUT
Jremy,0.26,Breeze,TS VS RRQ
sh1n,0.26,Breeze,KC VS GX
BuZz,0.26,Split,T1 VS DRX
BORKUM,0.26,Icebox,TS VS ZETA
Xeppaa,0.26,Sunset,C9 VS EG
Zyppan,0.26,Lotus,VIT VS NAVI
iZu,0.26,Lotus,T1 VS RRQ
marteen,0.26,Bind,KC VS NAVI
benjyfishy,0.26,Sunset,BBL VS TH
Dep,0.26,Ascent,GE VS ZETA
nAts,0.26,Ascent,TL VS GX
pAura,0.26,Ascent,BBL VS M8
qRaxs,0.26,Split,TL VS FUT
Mistic,0.26,Icebox,TL VS FUT
NDG,0.26,Sunset,TS VS DRX
MAGNUM,0.26,Sunset,KC VS GX
BeYN,0.26,Bind,T1 VS DRX
Meteor,0.26,Lotus,GEN VS TLN
Medusa,0.26,Sunset,T1 VS DFM
tex,0.26,Icebox,SEN VS LEV
Mistic,0.26,Ascent,TL VS GX
kiNgg,0.26,Icebox,SEN VS LEV
reazy,0.26,Ascent,BBL VS M8
Governor,0.26,Lotus,GEN VS TLN
nAts,0.26,Ascent,KOI VS TL
pAura,0.26,Sunset,BBL VS TH
yuran,0.26,Lotus,BLD VS ZETA
sScary,0.26,Lotus,BLD VS RRQ
Laz,0.26,Sunset,TS VS ZETA
sh1n,0.26,Split,KC VS M8
Shao,0.26,Bind,KC VS NAVI
Laz,0.26,Ascent,BLD VS ZETA
something,0.26,Icebox,GEN VS PRX
Benkai,0.26,Ascent,GE VS ZETA
QutionerX,0.26,Sunset,BBL VS M8
Less,0.25,Sunset,NRG VS LOUD
d4v41,0.25,Bind,GEN VS PRX
Cloud,0.25,Split,FNC VS GX
Victor,0.25,Sunset,NRG VS LOUD
leaf,0.25,Split,G2 VS 100T
xccurate,0.25,Lotus,T1 VS PRX
Xeppaa,0.25,Split,C9 VS EG
JonahP,0.25,Lotus,G2 VS EG
stax,0.25,Lotus,GE VS DRX
Zest,0.25,Lotus,BLD VS RRQ
iZu,0.25,Split,T1 VS DRX
starxo,0.25,Icebox,FNC VS KOI
Karon,0.25,Icebox,GEN VS PRX
xccurate,0.25,Split,T1 VS DRX
Rossy,0.25,Bind,T1 VS PRX
blaZek1ng,0.25,Ascent,GE VS DRX
Laz,0.25,Icebox,TS VS ZETA
MaKo,0.25,Lotus,GE VS DRX
Leo,0.25,Icebox,FNC VS KOI
f0rsakeN,0.25,Lotus,GEN VS PRX
ardiis,0.25,Split,TL VS NAVI
moose,0.25,Split,C9 VS EG
Karon,0.25,Lotus,GEN VS PRX
MAGNUM,0.25,Lotus,KC VS FUT
Leo,0.25,Lotus,FNC VS TH
reazy,0.25,Breeze,BBL VS KOI
Derke,0.25,Bind,FNC VS KOI
AtaKaptan,0.25,Lotus,KC VS FUT
nAts,0.24,Split,TL VS NAVI
runneR,0.24,Bind,VIT VS NAVI
OXY,0.24,Split,C9 VS EG
beyAz,0.24,Sunset,BBL VS M8
Meiy,0.24,Lotus,GEN VS DFM
Sayaplayer,0.24,Breeze,T1 VS DRX
iZu,0.24,Ascent,T1 VS DFM
JonahP,0.24,Icebox,G2 VS EG
t3xture,0.24,Split,GEN VS DFM
sh1n,0.24,Icebox,KC VS M8
valyn,0.24,Bind,G2 VS 100T
Enzo,0.24,Icebox,TL VS FUT
t3xture,0.24,Ascent,GEN VS TLN
sScary,0.24,Lotus,BLD VS ZETA
Carpe,0.24,Lotus,T1 VS DFM
xccurate,0.24,Breeze,T1 VS DRX
TakaS,0.24,Lotus,M8 VS FNC
MrFaliN,0.24,Ascent,VIT VS FUT
Jremy,0.24,Lotus,TS VS DRX
Chronicle,0.24,Breeze,FNC VS GX
Marved,0.24,Sunset,NRG VS LOUD
N4RRATE,0.24,Breeze,KC VS FUT
Leo,0.24,Icebox,FNC VS TH
Sacy,0.24,Split,SEN VS 100T
yay,0.24,Bind,BLD VS TLN
yuran,0.24,Sunset,TS VS ZETA
TenZ,0.24,Icebox,SEN VS LEV
mindfreak,0.24,Bind,T1 VS PRX
marteen,0.24,Sunset,KC VS NAVI
yetujey,0.24,Icebox,TL VS FUT
Cryocells,0.24,Split,SEN VS 100T
NDG,0.24,Icebox,TS VS RRQ
yetujey,0.24,Bind,KC VS FUT
NaturE,0.24,Sunset,C9 VS EG
Dep,0.24,Ascent,BLD VS ZETA
MrFaliN,0.24,Icebox,VIT VS FUT
Derke,0.24,Icebox,FNC VS TH
yuran,0.24,Ascent,GE VS ZETA
reazy,0.24,Split,BBL VS TH
JessieVash,0.24,Icebox,TS VS RRQ
xccurate,0.24,Sunset,T1 VS DFM
Shao,0.24,Split,KC VS NAVI
Lakia,0.24,Icebox,GEN VS PRX
havoc,0.23,Split,NRG VS FUR
Sacy,0.23,Icebox,SEN VS LEV
Meiy,0.23,Lotus,T1 VS DFM
Mazino,0.23,Icebox,SEN VS LEV
yay,0.23,Lotus,BLD VS RRQ
xccurate,0.23,Ascent,T1 VS DFM
Benkai,0.23,Ascent,GE VS DRX
Asuna,0.23,Split,G2 VS 100T
sh1n,0.23,Lotus,KC VS FUT
TenZ,0.23,Split,SEN VS 100T
Jamppi,0.23,Split,TL VS FUT
Mistic,0.23,Ascent,TL VS NAVI
QutionerX,0.23,Sunset,BBL VS TH
aspas,0.23,Ascent,C9 VS LEV
Foxy9,0.23,Sunset,TS VS DRX
nataNk,0.23,Icebox,KC VS M8
N4RRATE,0.23,Bind,KC VS FUT
mazin,0.23,Icebox,KRU VS MIBR
Jinggg,0.23,Lotus,T1 VS PRX
C0M,0.23,Icebox,SEN VS LEV
qRaxs,0.23,Breeze,KC VS FUT
saadhak,0.23,Sunset,NRG VS LOUD
Jemkin,0.23,Lotus,T1 VS RRQ
Enzo,0.23,Ascent,TL VS NAVI
Chronicle,0.23,Split,FNC VS GX
reazy,0.23,Icebox,BBL VS KOI
Jamppi,0.23,Split,TL VS NAVI
TakaS,0.23,Breeze,M8 VS FNC
Mazino,0.23,Ascent,C9 VS LEV
Leo,0.23,Lotus,M8 VS FNC
Zest,0.23,Lotus,BLD VS ZETA
Shyy,0.23,Lotus,KRU VS FUR
Keiko,0.23,Ascent,TL VS GX
ANGE1,0.23,Lotus,TL VS NAVI
fl1pzjder,0.23,Icebox,TS VS RRQ
Laz,0.23,Lotus,BLD VS ZETA
BuZz,0.23,Lotus,TS VS DRX
Sayaplayer,0.23,Ascent,T1 VS DFM
SUYGETSU,0.23,Sunset,KC VS NAVI
Zyppan,0.22,Bind,VIT VS NAVI
Benkai,0.22,Lotus,GE VS TLN
Crws,0.22,Icebox,GE VS TLN
Surf,0.22,Lotus,GE VS TLN
iZu,0.22,Bind,T1 VS PRX
marteen,0.22,Sunset,KC VS GX
saadhak,0.22,Breeze,NRG VS LOUD
MAGNUM,0.22,Bind,KC VS NAVI
QutionerX,0.22,Breeze,BBL VS KOI
icy,0.22,Lotus,G2 VS EG
Wailers,0.22,Sunset,BBL VS M8
fl1pzjder,0.22,Split,TS VS RRQ
sheydos,0.22,Bind,FNC VS KOI
bang,0.22,Split,G2 VS 100T
MaKo,0.22,Sunset,TS VS DRX
trexx,0.22,Breeze,VIT VS TH
kiNgg,0.22,Ascent,C9 VS LEV
Carpe,0.22,Ascent,T1 VS RRQ
sh1n,0.22,Bind,KC VS FUT
BORKUM,0.22,Sunset,TS VS ZETA
NDG,0.22,Breeze,TS VS RRQ
RgLMeister,0.22,Sunset,KRU VS MIBR
Crws,0.22,Bind,BLD VS TLN
ardiis,0.22,Bind,KC VS NAVI
sScary,0.22,Icebox,BLD VS RRQ
QutionerX,0.22,Split,BBL VS TH
Melser,0.22,Breeze,KRU VS FUR
frz,0.22,Sunset,KRU VS MIBR
ceNder,0.22,Ascent,VIT VS FUT
jawgemo,0.22,Lotus,C9 VS EG
hiroronn,0.22,Ascent,GE VS ZETA
paTiTek,0.22,Lotus,FNC VS TH
neth,0.22,Ascent,T1 VS DFM
MrFaliN,0.22,Icebox,TL VS FUT
vanity,0.22,Sunset,C9 VS EG
Boo,0.22,Split,BBL VS TH
keznit,0.22,Sunset,KRU VS MIBR
Enzo,0.21,Split,TL VS FUT
moose,0.21,Ascent,C9 VS LEV
mwzera,0.21,Icebox,KRU VS FUR
Zellsis,0.21,Icebox,SEN VS 100T
nzr,0.21,Icebox,KRU VS FUR
fl1pzjder,0.21,Lotus,T1 VS RRQ
yuran,0.21,Sunset,BLD VS ZETA
trexx,0.21,Ascent,VIT VS FUT
Meiy,0.21,Sunset,T1 VS DFM
Jinggg,0.21,Bind,GEN VS PRX
SugarZ3ro,0.21,Icebox,TS VS ZETA
Boaster,0.21,Breeze,FNC VS GX
xffero,0.21,Ascent,T1 VS RRQ
BORKUM,0.21,Icebox,TS VS RRQ
Retla,0.21,Sunset,BLD VS ZETA
Foxy9,0.21,Split,T1 VS DRX
Klaus,0.21,Icebox,KRU VS FUR
cNed,0.21,Sunset,VIT VS FUT
Governor,0.21,Ascent,GEN VS TLN
Polvi,0.21,Ascent,GE VS ZETA
d4v41,0.21,Lotus,GEN VS PRX
MrFaliN,0.21,Bind,KC VS FUT
beyAz,0.21,Breeze,M8 VS FNC
ceNder,0.21,Icebox,VIT VS FUT
Carpe,0.21,Lotus,T1 VS PRX
pAura,0.21,Breeze,BBL VS KOI
BeYN,0.21,Split,T1 VS DRX
MAGNUM,0.21,Icebox,KC VS M8
iZu,0.21,Lotus,T1 VS PRX
Shyy,0.21,Icebox,KRU VS FUR
hiroronn,0.21,Ascent,BLD VS ZETA
QutionerX,0.21,Icebox,BBL VS KOI
MiniBoo,0.21,Split,BBL VS TH
C0M,0.21,Lotus,SEN VS LEV
benjyfishy,0.21,Icebox,VIT VS TH
MAGNUM,0.21,Breeze,KC VS GX
nAts,0.21,Icebox,TL VS GX
trent,0.21,Icebox,G2 VS EG
Wailers,0.21,Breeze,M8 VS FNC
paTiTek,0.21,Split,BBL VS TH
zekken,0.21,Split,SEN VS 100T
Redgar,0.21,Lotus,TL VS GX
icy,0.21,Bind,G2 VS 100T
SSeeS,0.21,Split,GEN VS DFM
Rossy,0.21,Bind,T1 VS DRX
xffero,0.21,Lotus,BLD VS RRQ
johnqt,0.2,Icebox,SEN VS LEV
cNed,0.2,Ascent,VIT VS FUT
cNed,0.2,Lotus,KC VS FUT
MrFaliN,0.2,Lotus,KC VS FUT
Governor,0.2,Breeze,GE VS TLN
Benkai,0.2,Sunset,GE VS ZETA
NDG,0.2,Lotus,TS VS ZETA
Polvi,0.2,Lotus,GE VS TLN
Foxy9,0.2,Bind,T1 VS DRX
pAura,0.2,Icebox,BBL VS KOI
Laz,0.2,Sunset,GE VS ZETA
Apoth,0.2,Icebox,G2 VS EG
NDG,0.2,Split,TS VS RRQ
Lightningfast,0.2,Ascent,GE VS DRX
RgLMeister,0.2,Icebox,KRU VS MIBR
t3xture,0.2,Lotus,GEN VS TLN
marteen,0.2,Bind,KC VS FUT
Victor,0.2,Split,NRG VS FUR
paTiTek,0.2,Sunset,VIT VS TH
Ethan,0.2,Breeze,NRG VS FUR
Brave,0.2,Breeze,BBL VS KOI
Lakia,0.2,Ascent,GEN VS TLN
Alfajer,0.2,Breeze,M8 VS FNC
Sayaplayer,0.2,Split,T1 VS DRX
leaf,0.2,Icebox,G2 VS EG
Leo,0.2,Bind,FNC VS GX
BeYN,0.2,Lotus,TS VS DRX
icy,0.2,Icebox,G2 VS EG
Retla,0.2,Ascent,BLD VS ZETA
qRaxs,0.2,Lotus,KC VS FUT
Benkai,0.2,Lotus,GE VS DRX
Boostio,0.2,Split,G2 VS 100T
nzr,0.2,Breeze,NRG VS FUR
Enzo,0.2,Split,KOI VS TL
Kicks,0.2,Ascent,VIT VS FUT
aspas,0.19,Icebox,SEN VS LEV
TakaS,0.19,Icebox,KC VS M8
Jremy,0.19,Lotus,TS VS ZETA
Brave,0.19,Ascent,BBL VS M8
trexx,0.19,Icebox,VIT VS TH
Boaster,0.19,Breeze,M8 VS FNC
Kicks,0.19,Breeze,VIT VS TH
Crws,0.19,Icebox,BLD VS TLN
Klaus,0.19,Icebox,KRU VS MIBR
Keiko,0.19,Split,TL VS FUT
TakaS,0.19,Ascent,BBL VS M8
Jremy,0.19,Split,TS VS RRQ
Boo,0.19,Sunset,VIT VS TH
Estrella,0.19,Split,TS VS RRQ
xccurate,0.19,Lotus,T1 VS RRQ
runneR,0.19,Icebox,VIT VS TH
ShadoW,0.19,Split,KOI VS TL
xffero,0.19,Lotus,T1 VS RRQ
Rossy,0.19,Ascent,T1 VS DFM
kon4n,0.19,Split,NRG VS FUR
Khalil,0.19,Split,NRG VS FUR
frz,0.19,Icebox,KRU VS MIBR
TakaS,0.19,Sunset,BBL VS M8
marteen,0.19,Icebox,KC VS M8
ardiis,0.19,Lotus,VIT VS NAVI
BORKUM,0.19,Lotus,TS VS DRX
neth,0.19,Split,GEN VS DFM
Ethan,0.19,Sunset,NRG VS LOUD
Carpe,0.19,Bind,T1 VS DRX
JessieVash,0.19,Sunset,TS VS DRX
Polvi,0.19,Icebox,GE VS ZETA
Lakia,0.19,Split,GEN VS DFM
ShadoW,0.19,Icebox,BBL VS KOI
Wailers,0.18,Lotus,M8 VS FNC
JonahP,0.18,Bind,G2 VS 100T
Jemkin,0.18,Lotus,BLD VS RRQ
sh1n,0.18,Breeze,KC VS FUT
iZu,0.18,Bind,T1 VS DRX
Chronicle,0.18,Breeze,M8 VS FNC
zekken,0.18,Lotus,SEN VS LEV
trexx,0.18,Lotus,VIT VS NAVI
Xeppaa,0.18,Sunset,C9 VS LEV
OXY,0.18,Lotus,C9 VS EG
Anthem,0.18,Lotus,GEN VS DFM
nAts,0.18,Split,TL VS FUT
Cryocells,0.18,Split,G2 VS 100T
artzin,0.18,Sunset,KRU VS MIBR
sScary,0.18,Icebox,BLD VS TLN
AtaKaptan,0.18,Ascent,VIT VS FUT
Khalil,0.18,Breeze,NRG VS FUR
sScary,0.18,Sunset,BLD VS ZETA
runneR,0.18,Sunset,VIT VS TH
yetujey,0.18,Ascent,VIT VS FUT
Alfajer,0.18,Lotus,FNC VS TH
nataNk,0.18,Breeze,M8 VS FNC
Kicks,0.18,Icebox,VIT VS FUT
Kicks,0.18,Lotus,VIT VS NAVI
Asuna,0.18,Split,SEN VS 100T
Estrella,0.18,Icebox,BLD VS RRQ
JessieVash,0.18,Breeze,TS VS RRQ
hoody,0.18,Sunset,KC VS GX
cNed,0.18,Icebox,VIT VS FUT
C0M,0.18,Icebox,C9 VS LEV
Leo,0.18,Breeze,FNC VS GX
ardiis,0.18,Ascent,TL VS NAVI
cauanzin,0.18,Breeze,NRG VS LOUD
Jinggg,0.18,Lotus,GEN VS PRX
Laz,0.17,Sunset,BLD VS ZETA
runneR,0.17,Breeze,VIT VS TH
beyAz,0.17,Ascent,BBL VS M8
qRaxs,0.17,Icebox,VIT VS FUT
TakaS,0.17,Split,KC VS M8
vanity,0.17,Lotus,C9 VS EG
icy,0.17,Split,G2 VS 100T
paTiTek,0.17,Icebox,FNC VS TH
Derke,0.17,Bind,FNC VS GX
vanity,0.17,Ascent,C9 VS LEV
Dep,0.17,Sunset,BLD VS ZETA
Boaster,0.17,Icebox,FNC VS TH
MiniBoo,0.17,Sunset,BBL VS TH
Sayf,0.17,Breeze,VIT VS TH
Carpe,0.17,Ascent,T1 VS DFM
Cloud,0.17,Ascent,TL VS GX
Derke,0.17,Split,FNC VS GX
marteen,0.17,Lotus,KC VS FUT
Derke,0.17,Breeze,FNC VS GX
ardiis,0.17,Sunset,KC VS NAVI
Kicks,0.17,Sunset,VIT VS FUT
Zellsis,0.17,Icebox,SEN VS LEV
Estrella,0.17,Ascent,T1 VS RRQ
kon4n,0.17,Breeze,KRU VS FUR
stax,0.17,Breeze,T1 VS DRX
yay,0.17,Lotus,BLD VS TLN
Enzo,0.16,Ascent,TL VS GX
Crws,0.16,Ascent,GEN VS TLN
kon4n,0.16,Lotus,KRU VS FUR
Chronicle,0.16,Lotus,M8 VS FNC
hoody,0.16,Ascent,TL VS GX
Wailers,0.16,Split,KC VS M8
Benkai,0.16,Icebox,GE VS TLN
BORKUM,0.16,Lotus,TS VS ZETA
Sayf,0.16,Icebox,VIT VS TH
Laz,0.16,Lotus,TS VS ZETA
Asuna,0.16,Bind,G2 VS 100T
purp0,0.16,Sunset,KC VS GX
Zellsis,0.16,Lotus,SEN VS LEV
N4RRATE,0.16,Sunset,KC VS GX
Anthem,0.16,Split,GEN VS DFM
Boaster,0.16,Lotus,FNC VS TH
fl1pzjder,0.16,Ascent,T1 VS RRQ
nataNk,0.16,Sunset,BBL VS M8
Polvi,0.16,Icebox,GE VS TLN
Derke,0.16,Lotus,M8 VS FNC
Governor,0.16,Lotus,GE VS TLN
Chronicle,0.16,Lotus,FNC VS TH
Enzo,0.16,Lotus,TL VS GX
Chronicle,0.16,Icebox,FNC VS KOI
Rossy,0.15,Sunset,T1 VS DFM
Boostio,0.15,Icebox,SEN VS 100T
trexx,0.15,Sunset,VIT VS TH
Meteor,0.15,Ascent,GEN VS TLN
Wailers,0.15,Icebox,KC VS M8
sScary,0.15,Ascent,BLD VS ZETA
Zyppan,0.15,Split,KC VS NAVI
sheydos,0.15,Icebox,BBL VS KOI
trexx,0.15,Sunset,VIT VS FUT
NDG,0.15,Lotus,TS VS DRX
Foxy9,0.14,Lotus,TS VS DRX
mwzera,0.14,Split,NRG VS FUR
Chronicle,0.14,Icebox,FNC VS TH
Retla,0.14,Icebox,BLD VS TLN
Enzo,0.14,Split,TL VS NAVI
BuZz,0.14,Sunset,TS VS DRX
Enzo,0.14,Ascent,KOI VS TL
Meteor,0.14,Icebox,GEN VS PRX
Cloud,0.14,Bind,FNC VS GX
N4RRATE,0.14,Split,KC VS NAVI
Estrella,0.14,Icebox,TS VS RRQ
MAGNUM,0.14,Sunset,KC VS NAVI
mwzera,0.14,Lotus,KRU VS FUR
JonahP,0.13,Split,G2 VS 100T
Boostio,0.13,Split,SEN VS 100T
stax,0.13,Ascent,GE VS DRX
Rossy,0.13,Split,T1 VS DRX
runneR,0.13,Sunset,VIT VS FUT
Rossy,0.13,Lotus,T1 VS DFM
Munchkin,0.13,Lotus,GEN VS PRX
Kicks,0.13,Bind,VIT VS NAVI
leaf,0.13,Lotus,G2 VS EG
lenne,0.13,Ascent,GEN VS TLN
invy,0.13,Lotus,TS VS ZETA
mwzera,0.12,Breeze,KRU VS FUR
kamo,0.12,Breeze,BBL VS KOI
yay,0.12,Sunset,BLD VS ZETA
vanity,0.12,Split,C9 VS EG
sheydos,0.12,Icebox,FNC VS KOI
Enzo,0.12,Lotus,TL VS NAVI
ShadoW,0.12,Breeze,BBL VS KOI
beyAz,0.12,Icebox,KC VS M8
Polvi,0.12,Sunset,GE VS ZETA
Kicks,0.12,Sunset,VIT VS TH
Munchkin,0.12,Lotus,GEN VS TLN
trexx,0.11,Icebox,VIT VS FUT
jawgemo,0.11,Lotus,G2 VS EG
C0M,0.11,Sunset,C9 VS LEV
BuZz,0.1,Lotus,GE VS DRX
runneR,0.1,Lotus,VIT VS NAVI
AtaKaptan,0.1,Sunset,VIT VS FUT
Jinggg,0.1,Bind,T1 VS PRX
Surf,0.09,Lotus,GEN VS TLN
ShadoW,0.09,Ascent,KOI VS TL
Governor,0.09,Lotus,BLD VS TLN
Jremy,0.09,Sunset,TS VS DRX
Ethan,0.09,Breeze,NRG VS LOUD
runneR,0.08,Icebox,VIT VS FUT
Boaster,0.08,Bind,FNC VS KOI
C0M,0.07,Ascent,C9 VS LEV
fl1pzjder,0.07,Icebox,BLD VS RRQ
yay,0.07,Lotus,BLD VS ZETA
runneR,0.05,Ascent,VIT VS FUT
xccurate,0.05,Lotus,T1 VS DFM
Boaster,0.0,Icebox,FNC VS KOI
JessieVash,0.0,Lotus,TS VS ZETA
