Name,ACS,MatchTeams,Date
QutionerX,170.5,BBL VS M8,April 5th 2024
Benkai,170.0,GE VS TLN,April 15th 2024
C0M,170.0,SEN VS LEV,April 13th 2024
hiroronn,170.0,TS VS ZETA,April 14th 2024
Ethan,169.5,NRG VS LOUD,April 6th 2024
Estrella,169.5,BLD VS RRQ,April 14th 2024
Redgar,169.33,TL VS GX,April 19th 2024
hoody,169.0,KC VS GX,April 3rd 2024
trexx,168.33,VIT VS TH,April 10th 2024
Rossy,168.0,T1 VS PRX,April 7th 2024
Polvi,167.67,GE VS ZETA,April 6th 2024
Shyy,167.5,KRU VS MIBR,April 14th 2024
Deryeon,167.5,BLD VS RRQ,April 14th 2024
Carpe,167.5,T1 VS RRQ,April 16th 2024
trexx,167.0,VIT VS NAVI,April 4th 2024
Klaus,167.0,KRU VS FUR,April 8th 2024
havoc,166.67,KRU VS FUR,April 8th 2024
NaturE,166.0,C9 VS EG,April 15th 2024
runneR,165.67,VIT VS FUT,April 18th 2024
Karon,165.33,GEN VS DRX,April 20th 2024
stax,165.0,GE VS DRX,April 8th 2024
valyn,165.0,G2 VS 100T,April 13th 2024
moose,164.33,C9 VS LEV,April 6th 2024
grubinho,164.0,BBL VS KOI,April 11th 2024
Karon,164.0,GEN VS DFM,April 15th 2024
Mazino,163.67,C9 VS LEV,April 6th 2024
stax,163.5,TS VS DRX,April 6th 2024
Boo,163.5,BBL VS TH,April 18th 2024
paTiTek,163.0,VIT VS TH,April 10th 2024
Boaster,162.67,FNC VS GX,April 12th 2024
tuyz,162.5,NRG VS LOUD,April 6th 2024
Quick,162.5,NRG VS LOUD,April 6th 2024
johnqt,162.0,SEN VS LEV,April 13th 2024
Anthem,161.67,BLD VS DFM,April 20th 2024
Derke,161.67,FNC VS GX,April 12th 2024
MiniBoo,161.5,BBL VS TH,April 18th 2024
BeYN,161.5,GE VS DRX,April 8th 2024
ShadoW,161.0,FNC VS KOI,April 19th 2024
Rossy,161.0,T1 VS DRX,April 13th 2024
Mazino,160.5,SEN VS LEV,April 13th 2024
Anthem,159.5,GEN VS DFM,April 15th 2024
ANGE1,158.67,TL VS NAVI,April 11th 2024
Shyy,158.33,KRU VS FUR,April 8th 2024
Enzo,158.0,KOI VS TL,April 3rd 2024
Boaster,158.0,FNC VS TH,April 4th 2024
Cloud,158.0,FNC VS GX,April 12th 2024
Boaster,158.0,M8 VS FNC,April 17th 2024
Ethan,158.0,NRG VS FUR,April 14th 2024
MAGNUM,158.0,KC VS GX,April 3rd 2024
Medusa,156.0,BLD VS DFM,April 20th 2024
hiroronn,155.67,BLD VS ZETA,April 16th 2024
blaZek1ng,155.67,GE VS TLN,April 15th 2024
RieNs,155.5,BBL VS TH,April 18th 2024
Crws,154.67,GE VS TLN,April 15th 2024
jawgemo,154.5,G2 VS EG,April 7th 2024
AtaKaptan,154.0,VIT VS FUT,April 18th 2024
tomaszy,153.0,KC VS FUT,April 10th 2024
SSeeS,153.0,T1 VS DFM,April 9th 2024
kon4n,153.0,NRG VS FUR,April 14th 2024
JonahP,152.5,G2 VS 100T,April 13th 2024
eeiu,152.0,SEN VS 100T,April 7th 2024
beyAz,152.0,KC VS M8,April 12th 2024
Derrek,152.0,G2 VS EG,April 7th 2024
iZu,151.0,T1 VS PRX,April 7th 2024
vanity,150.67,C9 VS LEV,April 6th 2024
Estrella,150.67,TS VS RRQ,April 8th 2024
ardiis,150.0,VIT VS NAVI,April 4th 2024
kon4n,149.67,KRU VS FUR,April 8th 2024
Mistic,149.0,TL VS FUT,April 5th 2024
xccurate,148.67,T1 VS DRX,April 13th 2024
sheydos,148.5,BBL VS KOI,April 11th 2024
Kicks,148.5,VIT VS NAVI,April 4th 2024
supamen,147.0,G2 VS EG,April 7th 2024
C0M,146.67,C9 VS LEV,April 6th 2024
Khalil,146.5,NRG VS FUR,April 14th 2024
RgLMeister,146.5,KRU VS MIBR,April 14th 2024
Boostio,146.5,G2 VS 100T,April 13th 2024
NDG,146.0,TS VS DRX,April 6th 2024
JessieVash,146.0,TS VS RRQ,April 8th 2024
JessieVash,144.67,TS VS ZETA,April 14th 2024
Kicks,144.0,VIT VS FUT,April 18th 2024
JitBoyS,144.0,GEN VS TLN,April 9th 2024
xccurate,143.67,T1 VS DFM,April 9th 2024
Wailers,143.5,BBL VS M8,April 5th 2024
Crws,143.5,GEN VS TLN,April 9th 2024
ShadoW,143.0,BBL VS KOI,April 11th 2024
Crws,142.67,BLD VS TLN,April 7th 2024
Retla,142.0,BLD VS DFM,April 20th 2024
Redgar,141.0,FNC VS GX,April 12th 2024
vanity,140.67,C9 VS EG,April 15th 2024
TakaS,139.0,KC VS M8,April 12th 2024
kamo,139.0,FNC VS KOI,April 19th 2024
Lakia,138.67,GEN VS DRX,April 20th 2024
Brave,138.0,BBL VS M8,April 5th 2024
BORKUM,137.5,TS VS DRX,April 6th 2024
blaZek1ng,137.5,GE VS DRX,April 8th 2024
Anthem,135.67,T1 VS DFM,April 9th 2024
Carpe,135.67,T1 VS DRX,April 13th 2024
icy,135.5,G2 VS EG,April 7th 2024
Estrella,135.0,T1 VS RRQ,April 16th 2024
reazy,135.0,BBL VS M8,April 5th 2024
Zest,134.0,BLD VS TLN,April 7th 2024
Sacy,134.0,SEN VS LEV,April 13th 2024
beyAz,133.0,M8 VS FNC,April 17th 2024
Retla,132.5,BLD VS RRQ,April 14th 2024
tex,132.5,SEN VS LEV,April 13th 2024
Boo,131.33,VIT VS TH,April 10th 2024
mazin,129.5,KRU VS MIBR,April 14th 2024
Retla,128.67,BLD VS TLN,April 7th 2024
Foxy9,128.67,T1 VS DRX,April 13th 2024
sh1n,126.33,KC VS NAVI,April 17th 2024
fl1pzjder,126.0,T1 VS RRQ,April 16th 2024
Apoth,125.0,G2 VS EG,April 7th 2024
starxo,125.0,KOI VS TL,April 3rd 2024
sheydos,125.0,FNC VS KOI,April 19th 2024
Surf,122.33,GE VS TLN,April 15th 2024
neth,120.67,BLD VS DFM,April 20th 2024
logaN,120.5,BBL VS M8,April 5th 2024
TakaS,116.0,M8 VS FNC,April 17th 2024
ceNder,115.0,VIT VS NAVI,April 4th 2024
Zest,109.5,BLD VS RRQ,April 14th 2024
fl1pzjder,108.5,BLD VS RRQ,April 14th 2024
neth,107.0,GEN VS DFM,April 15th 2024
Wailers,105.0,KC VS M8,April 12th 2024
Boaster,100.5,FNC VS KOI,April 19th 2024
SSeeS,90.0,GEN VS DFM,April 15th 2024
Boostio,82.0,SEN VS 100T,April 7th 2024
Redgar,77.0,KC VS GX,April 3rd 2024
Surf,75.0,GEN VS TLN,April 9th 2024
Wailers,69.0,M8 VS FNC,April 17th 2024
