Name,ADR,MatchTeams,Date
yetujey,123.0,TL VS FUT,April 5th 2024
Jamppi,123.0,TL VS NAVI,April 11th 2024
Derrek,122.67,C9 VS EG,April 15th 2024
Leo,122.67,FNC VS GX,April 12th 2024
Carpe,122.5,T1 VS RRQ,April 16th 2024
saadhak,122.5,NRG VS LOUD,April 6th 2024
reazy,122.5,BBL VS KOI,April 11th 2024
Mistic,122.33,TL VS NAVI,April 11th 2024
SSeeS,122.33,BLD VS DFM,April 20th 2024
Asuna,122.0,SEN VS 100T,April 7th 2024
kamo,122.0,KOI VS TL,April 3rd 2024
moose,122.0,C9 VS EG,April 15th 2024
Khalil,121.67,KRU VS FUR,April 8th 2024
Lakia,121.5,GEN VS DFM,April 15th 2024
TenZ,121.5,SEN VS LEV,April 13th 2024
NDG,121.33,TS VS RRQ,April 8th 2024
blaZek1ng,121.33,GE VS ZETA,April 6th 2024
Foxy9,121.33,GEN VS DRX,April 20th 2024
yay,121.0,BLD VS DFM,April 20th 2024
Klaus,121.0,KRU VS FUR,April 8th 2024
Enzo,121.0,TL VS GX,April 19th 2024
benjyfishy,121.0,VIT VS TH,April 10th 2024
Carpe,121.0,T1 VS PRX,April 7th 2024
mindfreak,120.5,T1 VS PRX,April 7th 2024
stax,120.33,GEN VS DRX,April 20th 2024
Lakia,120.33,GEN VS PRX,April 13th 2024
Polvi,120.0,GE VS DRX,April 8th 2024
Jamppi,120.0,TL VS GX,April 19th 2024
Benkai,119.67,GE VS TLN,April 15th 2024
Shyy,119.5,KRU VS MIBR,April 14th 2024
Karon,119.5,GEN VS TLN,April 9th 2024
Xeppaa,119.33,C9 VS EG,April 15th 2024
yetujey,119.33,VIT VS FUT,April 18th 2024
purp0,119.0,KC VS GX,April 3rd 2024
kamo,119.0,BBL VS KOI,April 11th 2024
havoc,119.0,KRU VS FUR,April 8th 2024
Jemkin,119.0,T1 VS RRQ,April 16th 2024
MAGNUM,119.0,KC VS NAVI,April 17th 2024
qRaxs,119.0,VIT VS FUT,April 18th 2024
MrFaliN,119.0,KC VS FUT,April 10th 2024
Alfajer,118.5,FNC VS TH,April 4th 2024
moose,118.0,C9 VS LEV,April 6th 2024
qRaxs,117.67,KC VS FUT,April 10th 2024
d4v41,117.67,GEN VS PRX,April 13th 2024
hoody,117.67,FNC VS GX,April 12th 2024
N4RRATE,117.67,KC VS FUT,April 10th 2024
Meteor,117.5,GEN VS DFM,April 15th 2024
crashies,117.5,NRG VS FUR,April 14th 2024
xffero,117.5,T1 VS RRQ,April 16th 2024
purp0,117.33,TL VS GX,April 19th 2024
Jamppi,117.0,TL VS FUT,April 5th 2024
johnqt,117.0,SEN VS LEV,April 13th 2024
starxo,117.0,FNC VS KOI,April 19th 2024
sh1n,117.0,KC VS FUT,April 10th 2024
Ethan,117.0,NRG VS LOUD,April 6th 2024
tuyz,117.0,NRG VS LOUD,April 6th 2024
Lightningfast,117.0,GE VS DRX,April 8th 2024
icy,116.5,G2 VS 100T,April 13th 2024
NaturE,116.33,C9 VS EG,April 15th 2024
Dep,116.0,BLD VS ZETA,April 16th 2024
jawgemo,116.0,G2 VS EG,April 7th 2024
Cloud,116.0,TL VS GX,April 19th 2024
MAGNUM,116.0,KC VS FUT,April 10th 2024
Governor,116.0,GEN VS TLN,April 9th 2024
Boaster,116.0,M8 VS FNC,April 17th 2024
SugarZ3ro,115.67,TS VS ZETA,April 14th 2024
yay,115.67,BLD VS ZETA,April 16th 2024
Retla,115.67,BLD VS ZETA,April 16th 2024
Karon,115.67,GEN VS PRX,April 13th 2024
Munchkin,115.67,GEN VS PRX,April 13th 2024
BeYN,115.67,T1 VS DRX,April 13th 2024
starxo,115.5,BBL VS KOI,April 11th 2024
hoody,115.0,KC VS GX,April 3rd 2024
Rossy,115.0,T1 VS PRX,April 7th 2024
grubinho,115.0,KOI VS TL,April 3rd 2024
Shyy,115.0,KRU VS FUR,April 8th 2024
BeYN,115.0,TS VS DRX,April 6th 2024
Polvi,114.67,GE VS ZETA,April 6th 2024
Mistic,114.67,TL VS GX,April 19th 2024
MiniBoo,114.5,BBL VS TH,April 18th 2024
Enzo,114.5,TL VS FUT,April 5th 2024
tex,114.33,C9 VS LEV,April 6th 2024
Medusa,114.0,GEN VS DFM,April 15th 2024
Redgar,114.0,TL VS GX,April 19th 2024
BeYN,114.0,GE VS DRX,April 8th 2024
Estrella,114.0,BLD VS RRQ,April 14th 2024
Russ,113.67,GE VS TLN,April 15th 2024
trexx,113.5,VIT VS NAVI,April 4th 2024
Munchkin,113.5,GEN VS TLN,April 9th 2024
Sayaplayer,113.33,T1 VS DRX,April 13th 2024
sheydos,113.0,BBL VS KOI,April 11th 2024
logaN,112.5,M8 VS FNC,April 17th 2024
pAura,112.5,BBL VS KOI,April 11th 2024
Benkai,112.0,GE VS DRX,April 8th 2024
pAura,112.0,BBL VS TH,April 18th 2024
xccurate,111.5,T1 VS RRQ,April 16th 2024
Ethan,111.5,NRG VS FUR,April 14th 2024
Derrek,111.0,G2 VS EG,April 7th 2024
Enzo,111.0,KOI VS TL,April 3rd 2024
ShadoW,111.0,KOI VS TL,April 3rd 2024
Anthem,110.33,BLD VS DFM,April 20th 2024
beyAz,110.0,KC VS M8,April 12th 2024
Mazino,110.0,SEN VS LEV,April 13th 2024
Meteor,109.5,GEN VS TLN,April 9th 2024
Cloud,109.33,FNC VS GX,April 12th 2024
nAts,109.0,TL VS FUT,April 5th 2024
Derke,108.67,FNC VS GX,April 12th 2024
ShadoW,108.5,FNC VS KOI,April 19th 2024
cauanzin,108.5,NRG VS LOUD,April 6th 2024
mwzera,108.5,NRG VS FUR,April 14th 2024
trexx,108.33,VIT VS TH,April 10th 2024
stax,108.0,TS VS DRX,April 6th 2024
eeiu,108.0,SEN VS 100T,April 7th 2024
grubinho,108.0,BBL VS KOI,April 11th 2024
C0M,107.5,SEN VS LEV,April 13th 2024
Crws,107.33,GE VS TLN,April 15th 2024
kon4n,107.0,KRU VS FUR,April 8th 2024
hiroronn,106.67,TS VS ZETA,April 14th 2024
Shao,106.67,KC VS NAVI,April 17th 2024
runneR,106.33,VIT VS FUT,April 18th 2024
reazy,106.0,BBL VS M8,April 5th 2024
stax,106.0,GE VS DRX,April 8th 2024
ANGE1,105.33,TL VS NAVI,April 11th 2024
SSeeS,104.67,T1 VS DFM,April 9th 2024
JessieVash,104.33,TS VS ZETA,April 14th 2024
AtaKaptan,104.33,VIT VS FUT,April 18th 2024
Medusa,104.0,BLD VS DFM,April 20th 2024
MAGNUM,104.0,KC VS GX,April 3rd 2024
Boo,104.0,BBL VS TH,April 18th 2024
Deryeon,104.0,BLD VS RRQ,April 14th 2024
tomaszy,103.67,KC VS FUT,April 10th 2024
blaZek1ng,103.33,GE VS TLN,April 15th 2024
vanity,103.33,C9 VS LEV,April 6th 2024
Mazino,103.33,C9 VS LEV,April 6th 2024
Boaster,102.5,FNC VS TH,April 4th 2024
JonahP,102.5,G2 VS 100T,April 13th 2024
Rossy,102.33,T1 VS DRX,April 13th 2024
hiroronn,101.67,BLD VS ZETA,April 16th 2024
Mistic,101.0,TL VS FUT,April 5th 2024
Sacy,101.0,SEN VS LEV,April 13th 2024
C0M,100.33,C9 VS LEV,April 6th 2024
JessieVash,100.0,TS VS RRQ,April 8th 2024
Boaster,99.67,FNC VS GX,April 12th 2024
RieNs,99.5,BBL VS TH,April 18th 2024
xccurate,99.0,T1 VS DRX,April 13th 2024
ardiis,99.0,VIT VS NAVI,April 4th 2024
Anthem,98.5,GEN VS DFM,April 15th 2024
Estrella,98.5,T1 VS RRQ,April 16th 2024
Boostio,98.0,G2 VS 100T,April 13th 2024
xccurate,97.67,T1 VS DFM,April 9th 2024
Karon,97.67,GEN VS DRX,April 20th 2024
iZu,97.5,T1 VS PRX,April 7th 2024
Quick,97.5,NRG VS LOUD,April 6th 2024
valyn,97.5,G2 VS 100T,April 13th 2024
Anthem,97.33,T1 VS DFM,April 9th 2024
blaZek1ng,97.0,GE VS DRX,April 8th 2024
Wailers,97.0,BBL VS M8,April 5th 2024
Khalil,96.5,NRG VS FUR,April 14th 2024
Estrella,96.0,TS VS RRQ,April 8th 2024
ShadoW,96.0,BBL VS KOI,April 11th 2024
Karon,96.0,GEN VS DFM,April 15th 2024
Kicks,96.0,VIT VS FUT,April 18th 2024
NDG,94.0,TS VS DRX,April 6th 2024
Carpe,94.0,T1 VS DRX,April 13th 2024
Kicks,93.5,VIT VS NAVI,April 4th 2024
TakaS,93.5,KC VS M8,April 12th 2024
kon4n,92.5,NRG VS FUR,April 14th 2024
tex,92.5,SEN VS LEV,April 13th 2024
JitBoyS,92.0,GEN VS TLN,April 9th 2024
Zest,91.67,BLD VS TLN,April 7th 2024
Retla,91.67,BLD VS DFM,April 20th 2024
kamo,91.5,FNC VS KOI,April 19th 2024
Crws,91.0,GEN VS TLN,April 9th 2024
Lakia,90.67,GEN VS DRX,April 20th 2024
beyAz,90.5,M8 VS FNC,April 17th 2024
Crws,90.33,BLD VS TLN,April 7th 2024
icy,90.0,G2 VS EG,April 7th 2024
