Name,Rating,MatchTeams,Date
leaf,0.93,G2 VS 100T,April 13th 2024
TenZ,0.92,SEN VS LEV,April 13th 2024
blaZek1ng,0.92,GE VS TLN,April 15th 2024
ShadoW,0.92,KOI VS TL,April 3rd 2024
grubinho,0.92,KOI VS TL,April 3rd 2024
MAGNUM,0.92,KC VS NAVI,April 17th 2024
marteen,0.92,KC VS FUT,April 10th 2024
yay,0.91,BLD VS ZETA,April 16th 2024
frz,0.91,KRU VS MIBR,April 14th 2024
Boaster,0.91,FNC VS KOI,April 19th 2024
Lakia,0.91,GEN VS PRX,April 13th 2024
Derke,0.91,FNC VS TH,April 4th 2024
valyn,0.91,G2 VS 100T,April 13th 2024
Meteor,0.91,GEN VS TLN,April 9th 2024
artzin,0.91,KRU VS MIBR,April 14th 2024
fl1pzjder,0.9,TS VS RRQ,April 8th 2024
moose,0.9,C9 VS LEV,April 6th 2024
neth,0.9,T1 VS DFM,April 9th 2024
yetujey,0.9,VIT VS FUT,April 18th 2024
Boostio,0.9,G2 VS 100T,April 13th 2024
tex,0.9,SEN VS LEV,April 13th 2024
paTiTek,0.9,FNC VS TH,April 4th 2024
Benkai,0.9,GE VS DRX,April 8th 2024
NaturE,0.89,C9 VS EG,April 15th 2024
Redgar,0.89,FNC VS GX,April 12th 2024
Apoth,0.89,C9 VS EG,April 15th 2024
Khalil,0.89,KRU VS FUR,April 8th 2024
eeiu,0.89,SEN VS 100T,April 7th 2024
Jamppi,0.89,TL VS NAVI,April 11th 2024
Russ,0.89,GE VS ZETA,April 6th 2024
paTiTek,0.89,BBL VS TH,April 18th 2024
Mazino,0.89,C9 VS LEV,April 6th 2024
vanity,0.89,C9 VS EG,April 15th 2024
Chronicle,0.89,FNC VS TH,April 4th 2024
Crws,0.89,GEN VS TLN,April 9th 2024
Derrek,0.88,C9 VS EG,April 15th 2024
QutionerX,0.88,BBL VS M8,April 5th 2024
RieNs,0.88,BBL VS TH,April 18th 2024
Klaus,0.88,KRU VS FUR,April 8th 2024
Meteor,0.88,GEN VS PRX,April 13th 2024
Munchkin,0.87,GEN VS PRX,April 13th 2024
Lmemore,0.87,TS VS RRQ,April 8th 2024
Boo,0.87,BBL VS TH,April 18th 2024
Anthem,0.87,T1 VS DFM,April 9th 2024
Ethan,0.87,NRG VS LOUD,April 6th 2024
JessieVash,0.87,TS VS RRQ,April 8th 2024
t3xture,0.87,GEN VS PRX,April 13th 2024
purp0,0.86,TL VS GX,April 19th 2024
Sayaplayer,0.86,T1 VS DRX,April 13th 2024
Polvi,0.86,GE VS TLN,April 15th 2024
logaN,0.86,M8 VS FNC,April 17th 2024
tex,0.86,C9 VS LEV,April 6th 2024
Foxy9,0.86,T1 VS DRX,April 13th 2024
Kicks,0.86,VIT VS FUT,April 18th 2024
Asuna,0.85,SEN VS 100T,April 7th 2024
AtaKaptan,0.85,VIT VS FUT,April 18th 2024
vanity,0.85,C9 VS LEV,April 6th 2024
iZu,0.85,T1 VS DRX,April 13th 2024
Dep,0.85,BLD VS ZETA,April 16th 2024
Cloud,0.84,FNC VS GX,April 12th 2024
Karon,0.84,GEN VS PRX,April 13th 2024
mwzera,0.84,KRU VS FUR,April 8th 2024
Jremy,0.83,TS VS DRX,April 6th 2024
JessieVash,0.83,TS VS DRX,April 6th 2024
MAGNUM,0.83,KC VS FUT,April 10th 2024
Mistic,0.83,TL VS NAVI,April 11th 2024
xccurate,0.83,T1 VS DFM,April 9th 2024
runneR,0.83,VIT VS FUT,April 18th 2024
Jamppi,0.83,TL VS FUT,April 5th 2024
fl1pzjder,0.83,BLD VS RRQ,April 14th 2024
Rossy,0.83,T1 VS DRX,April 13th 2024
grubinho,0.83,BBL VS KOI,April 11th 2024
Jemkin,0.82,T1 VS RRQ,April 16th 2024
sheydos,0.82,BBL VS KOI,April 11th 2024
Anthem,0.82,GEN VS DFM,April 15th 2024
BORKUM,0.82,TS VS DRX,April 6th 2024
xccurate,0.82,T1 VS DRX,April 13th 2024
tuyz,0.81,NRG VS LOUD,April 6th 2024
Lightningfast,0.81,GE VS DRX,April 8th 2024
Alfajer,0.81,FNC VS TH,April 4th 2024
kamo,0.81,KOI VS TL,April 3rd 2024
zekken,0.81,SEN VS LEV,April 13th 2024
Estrella,0.81,TS VS RRQ,April 8th 2024
ANGE1,0.81,TL VS NAVI,April 11th 2024
Carpe,0.81,T1 VS PRX,April 7th 2024
Sacy,0.8,SEN VS LEV,April 13th 2024
jawgemo,0.8,C9 VS EG,April 15th 2024
purp0,0.8,KC VS GX,April 3rd 2024
JessieVash,0.8,TS VS ZETA,April 14th 2024
Boaster,0.8,FNC VS TH,April 4th 2024
nAts,0.79,TL VS FUT,April 5th 2024
iZu,0.79,T1 VS PRX,April 7th 2024
mazin,0.79,KRU VS MIBR,April 14th 2024
Governor,0.79,GEN VS TLN,April 9th 2024
JitBoyS,0.79,GEN VS TLN,April 9th 2024
Kicks,0.78,VIT VS NAVI,April 4th 2024
C0M,0.78,C9 VS LEV,April 6th 2024
trexx,0.77,VIT VS NAVI,April 4th 2024
icy,0.77,G2 VS EG,April 7th 2024
ShadoW,0.77,BBL VS KOI,April 11th 2024
Polvi,0.77,GE VS DRX,April 8th 2024
starxo,0.77,KOI VS TL,April 3rd 2024
sh1n,0.76,KC VS NAVI,April 17th 2024
Enzo,0.76,TL VS FUT,April 5th 2024
starxo,0.76,BBL VS KOI,April 11th 2024
Benkai,0.75,GE VS ZETA,April 6th 2024
hiroronn,0.75,BLD VS ZETA,April 16th 2024
kon4n,0.75,KRU VS FUR,April 8th 2024
icy,0.75,G2 VS 100T,April 13th 2024
Zest,0.75,BLD VS TLN,April 7th 2024
sheydos,0.75,FNC VS KOI,April 19th 2024
RgLMeister,0.75,KRU VS MIBR,April 14th 2024
Retla,0.74,BLD VS TLN,April 7th 2024
supamen,0.74,C9 VS EG,April 15th 2024
kon4n,0.74,NRG VS FUR,April 14th 2024
xffero,0.73,T1 VS RRQ,April 16th 2024
blaZek1ng,0.73,GE VS ZETA,April 6th 2024
ShadoW,0.73,FNC VS KOI,April 19th 2024
tomaszy,0.72,KC VS FUT,April 10th 2024
Polvi,0.72,GE VS ZETA,April 6th 2024
Carpe,0.72,T1 VS DRX,April 13th 2024
Mistic,0.72,TL VS FUT,April 5th 2024
cauanzin,0.71,NRG VS LOUD,April 6th 2024
hoody,0.71,KC VS GX,April 3rd 2024
Deryeon,0.71,BLD VS RRQ,April 14th 2024
mwzera,0.71,NRG VS FUR,April 14th 2024
saadhak,0.71,NRG VS LOUD,April 6th 2024
kamo,0.71,BBL VS KOI,April 11th 2024
reazy,0.71,BBL VS M8,April 5th 2024
Khalil,0.71,NRG VS FUR,April 14th 2024
havoc,0.7,KRU VS FUR,April 8th 2024
kamo,0.68,FNC VS KOI,April 19th 2024
Derrek,0.68,G2 VS EG,April 7th 2024
Estrella,0.68,T1 VS RRQ,April 16th 2024
yay,0.67,BLD VS RRQ,April 14th 2024
Surf,0.67,GE VS TLN,April 15th 2024
neth,0.67,GEN VS DFM,April 15th 2024
Derke,0.66,FNC VS GX,April 12th 2024
Boo,0.66,VIT VS TH,April 10th 2024
havoc,0.66,NRG VS FUR,April 14th 2024
blaZek1ng,0.66,GE VS DRX,April 8th 2024
jawgemo,0.65,G2 VS EG,April 7th 2024
fl1pzjder,0.65,T1 VS RRQ,April 16th 2024
MiniBoo,0.65,BBL VS TH,April 18th 2024
Quick,0.65,NRG VS LOUD,April 6th 2024
supamen,0.62,G2 VS EG,April 7th 2024
TakaS,0.61,KC VS M8,April 12th 2024
ceNder,0.61,VIT VS NAVI,April 4th 2024
Wailers,0.6,KC VS M8,April 12th 2024
beyAz,0.6,M8 VS FNC,April 17th 2024
Brave,0.59,BBL VS M8,April 5th 2024
NDG,0.58,TS VS DRX,April 6th 2024
SSeeS,0.57,GEN VS DFM,April 15th 2024
Retla,0.55,BLD VS RRQ,April 14th 2024
Surf,0.53,GEN VS TLN,April 9th 2024
Apoth,0.47,G2 VS EG,April 7th 2024
Wailers,0.47,M8 VS FNC,April 17th 2024
Boostio,0.44,SEN VS 100T,April 7th 2024
Zest,0.43,BLD VS RRQ,April 14th 2024
TakaS,0.41,M8 VS FNC,April 17th 2024
Redgar,0.38,KC VS GX,April 3rd 2024
beyAz,0.38,KC VS M8,April 12th 2024
