Name,HS Rate,MatchTeams,Date
hiroronn,0.33,BLD VS ZETA,April 16th 2024
Keiko,0.33,TL VS GX,April 19th 2024
SugarZ3ro,0.33,GE VS ZETA,April 6th 2024
Shao,0.33,VIT VS NAVI,April 4th 2024
Mistic,0.33,TL VS FUT,April 5th 2024
bang,0.33,SEN VS 100T,April 7th 2024
Xeppaa,0.32,C9 VS LEV,April 6th 2024
marteen,0.32,KC VS NAVI,April 17th 2024
keznit,0.32,KRU VS FUR,April 8th 2024
Mistic,0.32,TL VS GX,April 19th 2024
valyn,0.32,G2 VS EG,April 7th 2024
Zyppan,0.32,TL VS NAVI,April 11th 2024
SSeeS,0.32,T1 VS DFM,April 9th 2024
Zest,0.32,BLD VS RRQ,April 14th 2024
benjyfishy,0.32,FNC VS TH,April 4th 2024
N4RRATE,0.32,KC VS NAVI,April 17th 2024
Meteor,0.32,GEN VS DFM,April 15th 2024
Deryeon,0.32,BLD VS ZETA,April 16th 2024
nzr,0.32,KRU VS FUR,April 8th 2024
Shao,0.32,TL VS NAVI,April 11th 2024
Jemkin,0.32,T1 VS RRQ,April 16th 2024
qRaxs,0.32,TL VS FUT,April 5th 2024
pAura,0.32,BBL VS TH,April 18th 2024
cNed,0.32,TL VS FUT,April 5th 2024
logaN,0.32,BBL VS M8,April 5th 2024
MaKo,0.31,T1 VS DRX,April 13th 2024
nAts,0.31,TL VS NAVI,April 11th 2024
Shyy,0.31,KRU VS MIBR,April 14th 2024
artzin,0.31,KRU VS MIBR,April 14th 2024
Sayaplayer,0.31,T1 VS PRX,April 7th 2024
Derke,0.31,FNC VS KOI,April 19th 2024
Shao,0.31,KC VS NAVI,April 17th 2024
leaf,0.31,G2 VS 100T,April 13th 2024
benjyfishy,0.31,VIT VS TH,April 10th 2024
hiroronn,0.31,GE VS ZETA,April 6th 2024
BuZz,0.31,T1 VS DRX,April 13th 2024
cNed,0.31,KC VS FUT,April 10th 2024
Redgar,0.3,KC VS GX,April 3rd 2024
benjyfishy,0.3,BBL VS TH,April 18th 2024
BeYN,0.3,TS VS DRX,April 6th 2024
neth,0.3,T1 VS DFM,April 9th 2024
Boaster,0.3,FNC VS GX,April 12th 2024
yetujey,0.3,KC VS FUT,April 10th 2024
reazy,0.3,BBL VS M8,April 5th 2024
iZu,0.3,T1 VS RRQ,April 16th 2024
moose,0.3,C9 VS EG,April 15th 2024
BeYN,0.3,GE VS DRX,April 8th 2024
reazy,0.3,BBL VS TH,April 18th 2024
Medusa,0.3,T1 VS DFM,April 9th 2024
grubinho,0.3,KOI VS TL,April 3rd 2024
Dep,0.3,GE VS ZETA,April 6th 2024
Retla,0.3,BLD VS ZETA,April 16th 2024
ceNder,0.3,VIT VS TH,April 10th 2024
AtaKaptan,0.3,KC VS FUT,April 10th 2024
SUYGETSU,0.3,KC VS NAVI,April 17th 2024
Anthem,0.3,T1 VS DFM,April 9th 2024
kiNgg,0.3,C9 VS LEV,April 6th 2024
BORKUM,0.3,TS VS RRQ,April 8th 2024
aspas,0.3,SEN VS LEV,April 13th 2024
Brave,0.3,BBL VS M8,April 5th 2024
nAts,0.3,KOI VS TL,April 3rd 2024
Keiko,0.3,TL VS FUT,April 5th 2024
Carpe,0.29,T1 VS RRQ,April 16th 2024
nataNk,0.29,BBL VS M8,April 5th 2024
Alfajer,0.29,FNC VS TH,April 4th 2024
RieNs,0.29,BBL VS TH,April 18th 2024
ANGE1,0.29,KC VS NAVI,April 17th 2024
hoody,0.29,FNC VS GX,April 12th 2024
f0rsakeN,0.29,GEN VS PRX,April 13th 2024
blaZek1ng,0.29,GE VS DRX,April 8th 2024
nAts,0.29,TL VS FUT,April 5th 2024
something,0.29,GEN VS PRX,April 13th 2024
zekken,0.29,SEN VS LEV,April 13th 2024
moose,0.29,C9 VS LEV,April 6th 2024
Wailers,0.29,BBL VS M8,April 5th 2024
Meteor,0.29,GEN VS PRX,April 13th 2024
Keiko,0.29,TL VS NAVI,April 11th 2024
jawgemo,0.29,C9 VS EG,April 15th 2024
Mistic,0.29,TL VS NAVI,April 11th 2024
Sayaplayer,0.29,T1 VS DFM,April 9th 2024
Cloud,0.29,TL VS GX,April 19th 2024
johnqt,0.29,SEN VS LEV,April 13th 2024
tomaszy,0.29,KC VS M8,April 12th 2024
starxo,0.29,FNC VS KOI,April 19th 2024
starxo,0.29,KOI VS TL,April 3rd 2024
Marved,0.29,NRG VS FUR,April 14th 2024
Mazino,0.29,SEN VS LEV,April 13th 2024
Karon,0.29,GEN VS TLN,April 9th 2024
xccurate,0.29,T1 VS PRX,April 7th 2024
yay,0.29,BLD VS RRQ,April 14th 2024
trent,0.28,G2 VS EG,April 7th 2024
keznit,0.28,KRU VS MIBR,April 14th 2024
bang,0.28,G2 VS 100T,April 13th 2024
MAGNUM,0.28,KC VS FUT,April 10th 2024
SugarZ3ro,0.28,TS VS ZETA,April 14th 2024
yuran,0.28,TS VS ZETA,April 14th 2024
pAura,0.28,BBL VS M8,April 5th 2024
Karon,0.28,GEN VS PRX,April 13th 2024
Cryocells,0.28,SEN VS 100T,April 7th 2024
kamo,0.28,KOI VS TL,April 3rd 2024
nataNk,0.28,KC VS M8,April 12th 2024
Zest,0.28,BLD VS ZETA,April 16th 2024
Laz,0.28,GE VS ZETA,April 6th 2024
Lakia,0.28,GEN VS PRX,April 13th 2024
Sacy,0.28,SEN VS LEV,April 13th 2024
invy,0.28,TS VS ZETA,April 14th 2024
stax,0.28,T1 VS DRX,April 13th 2024
Carpe,0.28,T1 VS DRX,April 13th 2024
ANGE1,0.28,TL VS NAVI,April 11th 2024
Ethan,0.28,NRG VS FUR,April 14th 2024
sh1n,0.28,KC VS GX,April 3rd 2024
