Team,First Kills,MatchTeams,Map
T1,9,T1 VS PRX,Lotus
TL,9,TL VS FUT,Icebox
KRU,9,KRU VS MIBR,Icebox
DRX,9,TS VS DRX,Sunset
TLN,9,BLD VS TLN,Lotus
DFM,9,GEN VS DFM,Split
TLN,9,GEN VS TLN,Lotus
C9,9,C9 VS EG,Sunset
TS,9,TS VS RRQ,Split
C9,9,C9 VS EG,Lotus
BLD,9,BLD VS ZETA,Sunset
VIT,9,VIT VS FUT,Ascent
VIT,9,VIT VS NAVI,Bind
BLD,9,BLD VS RRQ,Icebox
BLD,9,BLD VS DFM,Split
ZETA,9,GE VS ZETA,Icebox
FUT,9,VIT VS FUT,Sunset
TH,9,BBL VS TH,Split
SEN,9,SEN VS 100T,Icebox
GE,9,GE VS ZETA,Ascent
KC,9,KC VS NAVI,Bind
LOUD,9,NRG VS LOUD,Breeze
GE,9,GE VS TLN,Lotus
M8,9,BBL VS M8,Ascent
NAVI,9,TL VS NAVI,Ascent
NAVI,9,KC VS NAVI,Split
NRG,9,NRG VS LOUD,Sunset
RRQ,9,BLD VS RRQ,Icebox
NAVI,8,TL VS NAVI,Lotus
C9,8,C9 VS LEV,Sunset
KC,8,KC VS M8,Icebox
DRX,8,GE VS DRX,Lotus
M8,8,KC VS M8,Split
C9,8,C9 VS LEV,Icebox
TS,8,TS VS ZETA,Lotus
BLD,8,BLD VS TLN,Icebox
VIT,8,VIT VS TH,Breeze
KOI,8,KOI VS TL,Ascent
BBL,8,BBL VS KOI,Icebox
ZETA,8,GE VS ZETA,Sunset
100T,8,SEN VS 100T,Split
KC,8,KC VS FUT,Breeze
KOI,8,BBL VS KOI,Icebox
GEN,8,GEN VS DRX,Split
G2,8,G2 VS 100T,Split
TL,8,TL VS FUT,Split
GEN,8,GEN VS PRX,Icebox
EG,8,G2 VS EG,Lotus
FNC,8,FNC VS GX,Bind
GEN,8,GEN VS PRX,Bind
FNC,8,FNC VS GX,Split
FUR,8,KRU VS FUR,Breeze
ZETA,7,BLD VS ZETA,Ascent
KOI,7,FNC VS KOI,Icebox
M8,7,M8 VS FNC,Breeze
GX,7,KC VS GX,Breeze
TH,7,BBL VS TH,Sunset
DFM,7,GEN VS DFM,Lotus
T1,7,T1 VS DRX,Bind
ZETA,7,TS VS ZETA,Icebox
KC,7,KC VS FUT,Lotus
DFM,6,BLD VS DFM,Ascent
KC,6,KC VS NAVI,Sunset
KOI,6,BBL VS KOI,Breeze
LOUD,6,NRG VS LOUD,Sunset
BLD,6,BLD VS ZETA,Lotus
VIT,6,VIT VS NAVI,Lotus
RRQ,6,T1 VS RRQ,Ascent
GE,6,GE VS ZETA,Sunset
FUR,5,NRG VS FUR,Split
EG,5,C9 VS EG,Split
FNC,5,FNC VS TH,Icebox
FNC,5,FNC VS GX,Breeze
DFM,5,T1 VS DFM,Lotus
EG,5,G2 VS EG,Icebox
GE,5,GE VS TLN,Icebox
BLD,4,BLD VS RRQ,Lotus
FUR,4,KRU VS FUR,Lotus
M8,4,M8 VS FNC,Lotus
T1,4,T1 VS DRX,Split
