Team,Assists,MatchTeams,Map
BLD,22,BLD VS RRQ,Icebox
BLD,21,BLD VS TLN,Bind
DFM,21,GEN VS DFM,Lotus
FUR,21,NRG VS FUR,Split
MIBR,21,KRU VS MIBR,Sunset
BBL,21,BBL VS KOI,Breeze
TS,21,TS VS ZETA,Lotus
FUR,21,KRU VS FUR,Icebox
MIBR,21,KRU VS MIBR,Icebox
TL,21,TL VS NAVI,Ascent
100T,20,SEN VS 100T,Split
TLN,20,BLD VS TLN,Lotus
FNC,20,M8 VS FNC,Breeze
GX,20,FNC VS GX,Breeze
FUT,20,TL VS FUT,Split
KC,19,KC VS FUT,Lotus
FNC,19,FNC VS GX,Breeze
NRG,19,NRG VS LOUD,Sunset
TL,19,TL VS FUT,Split
FNC,19,FNC VS TH,Icebox
FUR,19,KRU VS FUR,Breeze
GX,18,FNC VS GX,Split
VIT,18,VIT VS NAVI,Lotus
BLD,18,BLD VS TLN,Icebox
EG,18,C9 VS EG,Split
DFM,18,GEN VS DFM,Split
GE,18,GE VS DRX,Lotus
ZETA,17,GE VS ZETA,Sunset
FUT,17,VIT VS FUT,Sunset
M8,17,M8 VS FNC,Breeze
DFM,17,T1 VS DFM,Lotus
T1,16,T1 VS DRX,Split
RRQ,16,BLD VS RRQ,Icebox
TLN,16,GE VS TLN,Lotus
KOI,15,BBL VS KOI,Breeze
KOI,15,FNC VS KOI,Icebox
EG,14,G2 VS EG,Icebox
GE,14,GE VS TLN,Lotus
LEV,14,C9 VS LEV,Sunset
GE,14,GE VS ZETA,Sunset
LOUD,14,NRG VS LOUD,Sunset
BLD,13,BLD VS RRQ,Lotus
GX,12,KC VS GX,Breeze
M8,12,KC VS M8,Split
TLN,11,GE VS TLN,Icebox
KOI,11,BBL VS KOI,Icebox
M8,10,M8 VS FNC,Lotus
