Team,Rating,MatchTeams,Map
KC,0.916,KC VS NAVI,Sunset
NAVI,0.914,KC VS NAVI,Bind
ZETA,0.908,TS VS ZETA,Icebox
TL,0.908,TL VS NAVI,Split
DFM,0.908,BLD VS DFM,Split
GEN,0.906,GEN VS DRX,Bind
VIT,0.9039999999999999,VIT VS TH,Sunset
100T,0.9019999999999999,SEN VS 100T,Icebox
GX,0.9,TL VS GX,Icebox
GEN,0.9,GEN VS PRX,Icebox
KC,0.898,KC VS NAVI,Split
VIT,0.8939999999999999,VIT VS FUT,Ascent
BBL,0.892,BBL VS M8,Sunset
KOI,0.8880000000000001,KOI VS TL,Split
FUR,0.8879999999999999,NRG VS FUR,Breeze
TLN,0.8859999999999999,GEN VS TLN,Lotus
T1,0.8859999999999999,T1 VS DFM,Ascent
TL,0.8800000000000001,TL VS FUT,Icebox
TH,0.8800000000000001,VIT VS TH,Icebox
KOI,0.876,KOI VS TL,Ascent
NAVI,0.876,TL VS NAVI,Lotus
ZETA,0.8720000000000001,TS VS ZETA,Sunset
BLD,0.868,BLD VS TLN,Bind
MIBR,0.866,KRU VS MIBR,Icebox
C9,0.8619999999999999,C9 VS EG,Lotus
ZETA,0.86,BLD VS ZETA,Ascent
TLN,0.858,GEN VS TLN,Ascent
RRQ,0.8539999999999999,T1 VS RRQ,Lotus
TS,0.8539999999999999,TS VS DRX,Sunset
TH,0.85,BBL VS TH,Split
SEN,0.85,SEN VS LEV,Lotus
MIBR,0.85,KRU VS MIBR,Sunset
EG,0.8460000000000001,G2 VS EG,Lotus
DFM,0.842,GEN VS DFM,Split
TLN,0.8400000000000001,BLD VS TLN,Lotus
FUT,0.8379999999999999,VIT VS FUT,Sunset
TH,0.836,BBL VS TH,Sunset
BBL,0.834,BBL VS M8,Ascent
TS,0.826,TS VS DRX,Lotus
G2,0.818,G2 VS 100T,Split
GX,0.8140000000000001,FNC VS GX,Bind
100T,0.8099999999999999,SEN VS 100T,Split
KOI,0.8099999999999999,BBL VS KOI,Icebox
KC,0.808,KC VS FUT,Breeze
GE,0.806,GE VS TLN,Lotus
EG,0.8039999999999999,C9 VS EG,Sunset
T1,0.8019999999999999,T1 VS DRX,Bind
BLD,0.796,BLD VS TLN,Icebox
DFM,0.796,GEN VS DFM,Lotus
M8,0.794,M8 VS FNC,Breeze
FUR,0.79,KRU VS FUR,Lotus
GEN,0.79,GEN VS PRX,Bind
GX,0.784,FNC VS GX,Split
LEV,0.78,C9 VS LEV,Sunset
RRQ,0.764,TS VS RRQ,Split
GE,0.762,GE VS DRX,Lotus
GEN,0.76,GEN VS DRX,Split
DFM,0.756,T1 VS DFM,Lotus
KC,0.754,KC VS FUT,Lotus
