Team,Kills,MatchTeams,Map
TS,64,TS VS DRX,Sunset
BBL,63,BBL VS KOI,Breeze
GE,62,GE VS DRX,Ascent
RRQ,62,BLD VS RRQ,Lotus
BBL,62,BBL VS M8,Ascent
BLD,62,BLD VS TLN,Bind
EG,61,C9 VS EG,Sunset
TLN,61,BLD VS TLN,Lotus
G2,61,G2 VS 100T,Split
DFM,61,BLD VS DFM,Split
C9,61,C9 VS LEV,Icebox
KOI,60,KOI VS TL,Ascent
VIT,60,VIT VS FUT,Ascent
GE,60,GE VS DRX,Lotus
DFM,60,GEN VS DFM,Lotus
DFM,59,T1 VS DFM,Lotus
TLN,59,GEN VS TLN,Ascent
RRQ,59,TS VS RRQ,Split
KC,59,KC VS FUT,Lotus
TH,58,BBL VS TH,Split
NAVI,58,KC VS NAVI,Bind
GX,58,TL VS GX,Icebox
KC,58,KC VS FUT,Breeze
100T,56,SEN VS 100T,Split
DFM,56,GEN VS DFM,Split
M8,56,KC VS M8,Icebox
TL,55,TL VS NAVI,Ascent
GEN,55,GEN VS PRX,Bind
M8,55,KC VS M8,Split
TS,54,TS VS ZETA,Lotus
BLD,54,BLD VS RRQ,Icebox
LEV,53,C9 VS LEV,Sunset
TL,52,TL VS FUT,Split
MIBR,52,KRU VS MIBR,Icebox
FUR,51,KRU VS FUR,Breeze
GEN,51,GEN VS DRX,Split
M8,51,M8 VS FNC,Breeze
BLD,50,BLD VS TLN,Icebox
FNC,50,FNC VS TH,Icebox
GE,50,GE VS TLN,Lotus
GX,49,FNC VS GX,Split
GX,49,FNC VS GX,Bind
T1,48,T1 VS DRX,Bind
RRQ,47,T1 VS RRQ,Ascent
FNC,46,FNC VS GX,Breeze
TLN,46,GE VS TLN,Icebox
KOI,45,FNC VS KOI,Icebox
GX,45,KC VS GX,Breeze
EG,45,C9 VS EG,Split
VIT,45,VIT VS NAVI,Lotus
KOI,44,BBL VS KOI,Icebox
KOI,43,BBL VS KOI,Breeze
T1,43,T1 VS DRX,Split
LOUD,42,NRG VS LOUD,Sunset
M8,40,M8 VS FNC,Lotus
EG,40,G2 VS EG,Icebox
DFM,39,BLD VS DFM,Ascent
FUR,38,NRG VS FUR,Split
BLD,36,BLD VS RRQ,Lotus
GE,35,GE VS ZETA,Sunset
