Team,ACS,MatchTeams,Map
ZETA,184.4,BLD VS ZETA,Ascent
NAVI,184.2,TL VS NAVI,Lotus
SEN,184.2,SEN VS LEV,Lotus
C9,184.0,C9 VS EG,Lotus
GE,184.0,GE VS DRX,Lotus
BLD,183.0,BLD VS TLN,Bind
BLD,182.4,BLD VS ZETA,Lotus
EG,181.6,C9 VS EG,Sunset
KOI,181.4,FNC VS KOI,Bind
FNC,180.2,FNC VS TH,Icebox
100T,180.0,SEN VS 100T,Icebox
T1,179.6,T1 VS DFM,Ascent
T1,179.2,T1 VS DFM,Sunset
C9,178.8,C9 VS LEV,Icebox
GE,178.6,GE VS DRX,Ascent
TS,178.6,TS VS DRX,Sunset
M8,178.4,KC VS M8,Icebox
VIT,178.2,VIT VS FUT,Ascent
KOI,177.6,KOI VS TL,Split
FUT,177.4,VIT VS FUT,Sunset
BLD,177.4,BLD VS RRQ,Icebox
GEN,176.2,GEN VS PRX,Bind
KOI,175.2,KOI VS TL,Ascent
100T,174.6,SEN VS 100T,Split
NAVI,174.4,KC VS NAVI,Bind
GX,173.0,TL VS GX,Icebox
TS,173.0,TS VS ZETA,Lotus
SEN,172.4,SEN VS LEV,Icebox
KC,172.4,KC VS FUT,Breeze
TLN,172.2,BLD VS TLN,Lotus
TL,172.0,TL VS FUT,Split
DFM,172.0,GEN VS DFM,Lotus
EG,171.6,C9 VS EG,Split
KC,171.6,KC VS FUT,Lotus
TLN,170.6,GEN VS TLN,Lotus
TH,170.4,BBL VS TH,Split
LOUD,170.2,NRG VS LOUD,Sunset
G2,170.0,G2 VS 100T,Split
KOI,168.8,BBL VS KOI,Icebox
M8,167.4,KC VS M8,Split
MIBR,166.6,KRU VS MIBR,Icebox
GX,166.4,FNC VS GX,Bind
TLN,165.4,GE VS TLN,Icebox
LEV,165.0,C9 VS LEV,Sunset
TLN,164.6,GEN VS TLN,Ascent
VIT,163.6,VIT VS NAVI,Lotus
FNC,162.8,FNC VS GX,Breeze
KOI,161.4,FNC VS KOI,Icebox
GE,160.4,GE VS ZETA,Sunset
FUR,159.4,NRG VS FUR,Split
BLD,157.0,BLD VS TLN,Icebox
KOI,157.0,BBL VS KOI,Breeze
GX,157.0,KC VS GX,Breeze
M8,155.8,M8 VS FNC,Breeze
GE,155.6,GE VS TLN,Lotus
DFM,154.8,GEN VS DFM,Split
T1,153.4,T1 VS DRX,Bind
BLD,153.4,BLD VS RRQ,Lotus
EG,152.8,G2 VS EG,Icebox
FUR,152.6,KRU VS FUR,Breeze
RRQ,149.4,T1 VS RRQ,Ascent
GX,145.2,FNC VS GX,Split
M8,144.0,M8 VS FNC,Lotus
T1,141.8,T1 VS DRX,Split
